日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-19,BK1030,电机,1736.94,-1.23,-319970257,-9.07,-108134961,-3.06,-211835296,-6.0,-23973296,-0.68,319198736,9.05
2023-07-17,BK1030,电机,1754.44,-0.62,-261017698,-6.93,-145929970,-3.87,-115087728,-3.05,-32991760,-0.88,274548384,7.28
2023-07-14,BK1030,电机,1765.36,-1.51,-288972640,-5.02,-190928736,-3.32,-98043904,-1.7000000000000002,87866112,1.53,200868704,3.49
2023-07-13,BK1030,电机,1792.43,0.85,-79111024,-1.22,-75871088,-1.17,-3239936,-0.05,72150544,1.11,24087552,0.37
2023-07-12,BK1030,电机,1777.39,0.92,-157021952,-2.14,72470480,0.99,-229492432,-3.13,-55095312,-0.75,174433280,2.38
2023-07-11,BK1030,电机,1761.18,1.41,-34058352,-0.6000000000000001,48722240,0.86,-82780592,-1.46,-93852544,-1.65,128144048,2.26
2023-07-10,BK1030,电机,1736.7,-1.27,-216229120,-3.38,65236304,1.02,-281465424,-4.4,-80173984,-1.25,260178848,4.06
2023-07-07,BK1030,电机,1758.96,-1.81,-580228160,-10.02,-236317504,-4.08,-343910656,-5.94,-13991552,-0.24,555094416,9.59
2023-07-06,BK1030,电机,1791.31,0.33,-42087600,-0.72,11992320,0.2,-54079920,-0.92,-103698336,-1.76,167424256,2.85
2023-07-05,BK1030,电机,1785.35,-2.96,-630950832,-8.96,-193163408,-2.74,-437787424,-6.22,-32393904,-0.46,612847024,8.71
2023-07-04,BK1030,电机,1839.81,3.28,88943680,1.2,172401136,2.33,-83457456,-1.13,-141925968,-1.92,48219744,0.65
2023-07-03,BK1030,电机,1781.33,-1.82,-126045328,-1.54,-43794256,-0.53,-82251072,-1.0,-7176592,-0.09,112554272,1.37
2023-06-30,BK1030,电机,1814.32,1.29,-14162400,-0.15,68854592,0.74,-83016992,-0.89,61016096,0.65,-46023088,-0.49
2023-06-29,BK1030,电机,1791.13,4.35,456763056,5.05,389220096,4.31,67542960,0.75,-141128816,-1.56,-340466720,-3.77
2023-06-28,BK1030,电机,1716.44,1.18,144087952,2.5,27965088,0.48,116122864,2.01,-13932240,-0.24,-106978464,-1.85
2023-06-27,BK1030,电机,1696.44,0.35000000000000003,-124024480,-2.06,-94724496,-1.57,-29299984,-0.49,-65301152,-1.08,188376192,3.12
2023-06-26,BK1030,电机,1690.49,-1.75,-469695488,-6.55,-231890656,-3.23,-237804832,-3.32,53600576,0.75,404195040,5.64
2023-06-21,BK1030,电机,1720.67,-0.03,-13447984,-0.17,61646256,0.8,-75094240,-0.97,-67030112,-0.87,80646256,1.04
2023-06-20,BK1030,电机,1721.27,4.18,333883552,5.08,343094832,5.22,-9211280,-0.14,-29507472,-0.45,-243771280,-3.71
2023-06-19,BK1030,电机,1652.2,1.22,-111235488,-2.24,-44467552,-0.9,-66767936,-1.35,54520048,1.1,97128624,1.96
2023-06-16,BK1030,电机,1632.3,1.37,-90103200,-1.64,61313472,1.12,-151416672,-2.76,6425360,0.12,75400128,1.37
