日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-12,BK0736,通信服务,933.18,-2.48,-1357575520,-14.78,-877040624,-9.55,-480534896,-5.23,611606576,6.66,745968944,8.12
2023-07-11,BK0736,通信服务,956.89,0.71,-362594384,-5.83,-139286192,-2.24,-223308192,-3.59,205416000,3.31,157178384,2.53
2023-07-10,BK0736,通信服务,950.15,-0.98,-247457968,-4.31,-213443424,-3.72,-34014544,-0.59,71077888,1.24,176380080,3.07
2023-07-07,BK0736,通信服务,959.54,-1.57,-567679088,-9.01,-384971856,-6.11,-182707232,-2.9,135952000,2.16,431727088,6.85
2023-07-06,BK0736,通信服务,974.83,0.17,-347779520,-5.38,-150150896,-2.32,-197628624,-3.06,18828864,0.29,328950672,5.09
2023-07-05,BK0736,通信服务,973.14,-1.26,-335872336,-4.19,-199168016,-2.48,-136704320,-1.7000000000000002,126804864,1.58,209067488,2.61
2023-07-04,BK0736,通信服务,985.59,0.62,-358288064,-3.88,-205779760,-2.23,-152508304,-1.65,150209104,1.63,208078976,2.26
2023-07-03,BK0736,通信服务,979.49,-0.71,-45270944,-0.41,26116816,0.24,-71387760,-0.65,3817088,0.03,41453856,0.38
2023-06-30,BK0736,通信服务,986.5,0.47,-385710384,-3.72,-285644928,-2.75,-100065456,-0.96,-26541760,-0.26,412252160,3.97
2023-06-29,BK0736,通信服务,981.84,1.79,-296233312,-2.81,-196529184,-1.87,-99704128,-0.95,94105904,0.89,202127392,1.92
2023-06-28,BK0736,通信服务,964.54,-1.18,-325653392,-2.96,-56006112,-0.51,-269647280,-2.45,-136869856,-1.24,462523264,4.2
2023-06-27,BK0736,通信服务,976.08,1.53,-248750976,-2.3,118996672,1.1,-367747648,-3.4,117155968,1.08,131595024,1.22
2023-06-26,BK0736,通信服务,961.4,-3.08,-439388208,-3.88,-176450864,-1.56,-262937344,-2.32,19011408,0.17,420376784,3.71
2023-06-21,BK0736,通信服务,991.99,-2.28,-1498583792,-10.18,-970560240,-6.59,-528023552,-3.59,434608512,2.95,1063975056,7.23
2023-06-20,BK0736,通信服务,1015.09,-1.24,-685782816,-5.19,-535999920,-4.05,-149782896,-1.13,166397728,1.26,519385088,3.93
2023-06-19,BK0736,通信服务,1027.81,0.39,-467597104,-3.01,-172240048,-1.11,-295357056,-1.9,122249472,0.79,345347824,2.23
2023-06-16,BK0736,通信服务,1023.82,1.17,-710330320,-5.06,-504236992,-3.59,-206093328,-1.47,302915424,2.16,407414912,2.9
