日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK1029,汽车整车,1276.63,0.59,205380128,1.79,366104240,3.2,-160724112,-1.4,-183329520,-1.6,-22050608,-0.19
2023-09-04,BK1029,汽车整车,1285.69,2.56,679326976,4.25,491977408,3.08,187349568,1.17,-130328320,-0.8200000000000001,-548998656,-3.44
2023-08-31,BK1029,汽车整车,1227.04,-1.7000000000000002,-1046130208,-8.06,-591757056,-4.5600000000000005,-454373152,-3.5,-19958480,-0.15,1066088672,8.22
2023-08-29,BK1029,汽车整车,1253.11,3.29,1075298736,5.97,941939888,5.23,133358848,0.74,-380783872,-2.11,-694515200,-3.86
2023-08-28,BK1029,汽车整车,1213.19,1.77,-74421392,-0.53,188296064,1.34,-262717456,-1.86,-16229888,-0.12,90651216,0.64
2023-08-25,BK1029,汽车整车,1192.04,-1.92,-445003024,-5.55,-164458080,-2.05,-280544944,-3.5,9751152,0.12,435251872,5.43
2023-08-24,BK1029,汽车整车,1215.32,-0.2,-88063072,-0.97,151234192,1.66,-239297264,-2.63,-199354288,-2.19,287417360,3.16
2023-08-23,BK1029,汽车整车,1217.71,-2.38,-804028784,-10.57,-485445072,-6.38,-318583712,-4.19,93707680,1.23,710321120,9.34
2023-08-21,BK1029,汽车整车,1238.86,-1.48,-883034592,-9.69,-576099456,-6.32,-306935136,-3.37,-153485584,-1.6800000000000002,1036520160,11.37
2023-08-18,BK1029,汽车整车,1257.53,-1.81,-926183904,-9.2,-434341984,-4.31,-491841920,-4.89,111775216,1.11,814408704,8.09
2023-08-16,BK1029,汽车整车,1264.94,-1.52,-845396000,-9.19,-425887840,-4.63,-419508160,-4.5600000000000005,-8095760,-0.09,853491776,9.28
2023-08-15,BK1029,汽车整车,1284.52,-0.6000000000000001,-442959152,-4.45,-421825200,-4.24,-21133952,-0.21,-17501200,-0.18,460460336,4.63
2023-08-14,BK1029,汽车整车,1292.28,-1.75,-2550422224,-14.56,-1494645520,-8.54,-1055776704,-6.03,171951104,0.98,2378471104,13.58
2023-08-11,BK1029,汽车整车,1315.25,-1.87,-428695376,-3.5700000000000003,-312018912,-2.6,-116676464,-0.97,-200004320,-1.66,628699712,5.23
2023-08-10,BK1029,汽车整车,1340.31,-1.38,-778420928,-8.4,-444404544,-4.8,-334016384,-3.6,-193099360,-2.08,971520288,10.48
2023-08-09,BK1029,汽车整车,1359.13,-0.53,-873925456,-6.45,-524421984,-3.87,-349503472,-2.58,-177576960,-1.31,1051502528,7.76
2023-08-08,BK1029,汽车整车,1366.41,-1.83,-1622201696,-12.04,-1207045296,-8.96,-415156400,-3.08,51010944,0.38,1571190864,11.67
2023-08-07,BK1029,汽车整车,1391.88,-0.42,-671123216,-5.52,-559115584,-4.6,-112007632,-0.92,-10362608,-0.09,681485824,5.61
2023-08-04,BK1029,汽车整车,1397.72,-0.58,-603370672,-3.69,-78950288,-0.48,-524420384,-3.21,-142957056,-0.87,746327888,4.57
2023-08-03,BK1029,汽车整车,1405.81,-1.16,-1111605792,-6.67,-560449072,-3.36,-551156720,-3.31,91380224,0.55,1020225536,6.13
2023-08-02,BK1029,汽车整车,1422.33,0.19,-1435351328,-5.99,-656534048,-2.74,-778817280,-3.25,92156672,0.38,1343194624,5.6
2023-08-01,BK1029,汽车整车,1419.61,0.46,-1065070016,-3.98,-307790528,-1.15,-757279488,-2.83,152235520,0.5700000000000001,912834560,3.41
2023-07-31,BK1029,汽车整车,1413.12,3.75,1569921024,4.8100000000000005,1348765952,4.13,221155072,0.68,-912068352,-2.79,-657852672,-2.01
2023-07-28,BK1029,汽车整车,1362.05,3.53,2453157744,9.05,1898463600,7.01,554694144,2.05,-884939520,-3.27,-1568217856,-5.79
2023-07-27,BK1029,汽车整车,1315.64,0.38,-903337520,-4.89,-218057952,-1.18,-685279568,-3.71,-48805120,-0.26,952142592,5.16
2023-07-26,BK1029,汽车整车,1310.67,-2.11,-2132698784,-12.94,-1722404704,-10.45,-410294080,-2.49,378609664,2.3,1754089104,10.64
2023-07-24,BK1029,汽车整车,1277.73,-1.07,-578449744,-5.96,-366764080,-3.78,-211685664,-2.18,21205136,0.22,557244592,5.74
2023-07-21,BK1029,汽车整车,1291.51,-1.24,-454792784,-3.82,-244524000,-2.06,-210268784,-1.77,-253071264,-2.13,707864048,5.95
2023-07-20,BK1029,汽车整车,1307.71,-2.32,-1288534080,-7.87,-780032016,-4.76,-508502064,-3.1,-141736448,-0.87,1430270512,8.73
2023-07-19,BK1029,汽车整车,1338.72,0.78,-401155712,-2.8,-244669952,-1.71,-156485760,-1.09,-136995328,-0.96,538151040,3.76
2023-07-17,BK1029,汽车整车,1294.58,0.58,-282449152,-2.18,-18812928,-0.15,-263636224,-2.03,-159473120,-1.23,441922256,3.41
2023-07-14,BK1029,汽车整车,1287.06,-1.21,-1432553280,-10.81,-811520176,-6.12,-621033104,-4.69,242630592,1.83,1189922608,8.98
2023-07-13,BK1029,汽车整车,1302.79,-1.67,-611406032,-3.7,-343098944,-2.07,-268307088,-1.62,-223195904,-1.35,834602080,5.05
2023-07-12,BK1029,汽车整车,1324.86,-0.02,-1421090656,-5.42,-1007399008,-3.84,-413691648,-1.58,206670080,0.79,1214420992,4.63
2023-07-11,BK1029,汽车整车,1325.06,4.08,1765419024,8.88,1594736912,8.02,170682112,0.86,-511060736,-2.5700000000000003,-1254358528,-6.31
2023-07-10,BK1029,汽车整车,1273.16,-1.34,-661018960,-5.37,-354024336,-2.88,-306994624,-2.5,-236848496,-1.93,897867440,7.3
2023-07-07,BK1029,汽车整车,1290.4,-0.71,-750375600,-4.93,-371914640,-2.44,-378460960,-2.49,111714304,0.73,638661504,4.2
2023-07-06,BK1029,汽车整车,1299.69,0.91,-81705344,-0.49,199887488,1.19,-281592832,-1.6800000000000002,-122953216,-0.73,204658608,1.22
2023-07-05,BK1029,汽车整车,1287.91,-1.07,-1177385472,-5.53,-728162048,-3.42,-449223424,-2.11,155899904,0.73,1021485568,4.8
2023-07-04,BK1029,汽车整车,1301.78,2.08,660142736,2.39,593844624,2.15,66298112,0.24,-55436544,-0.2,-604706048,-2.19
2023-07-03,BK1029,汽车整车,1275.25,4.34,2354309568,10.97,1855706816,8.65,498602752,2.32,-990743296,-4.62,-1363566080,-6.35
2023-06-30,BK1029,汽车整车,1222.19,0.54,-272009984,-2.61,-207600192,-1.99,-64409792,-0.62,-50700528,-0.49,322710544,3.1
2023-06-29,BK1029,汽车整车,1215.62,-0.49,-706165152,-6.88,-445319456,-4.34,-260845696,-2.54,-52201904,-0.51,758367072,7.39
2023-06-28,BK1029,汽车整车,1221.62,0.04,-153104592,-1.36,-156849968,-1.4,3745376,0.03,981824,0.01,152122752,1.35
2023-06-27,BK1029,汽车整车,1221.08,1.05,-371964800,-3.01,-273877360,-2.21,-98087440,-0.79,6949200,0.06,365015584,2.95
2023-06-26,BK1029,汽车整车,1208.42,0.42,513534128,2.89,655811504,3.69,-142277376,-0.8,-517838080,-2.91,4303872,0.02
2023-06-21,BK1029,汽车整车,1203.36,-0.64,-214807792,-1.93,-90575952,-0.81,-124231840,-1.11,-114703584,-1.03,329511360,2.95
2023-06-20,BK1029,汽车整车,1211.08,-0.19,-202840416,-1.59,-101739728,-0.8,-101100688,-0.79,-101750416,-0.8,304590816,2.39
2023-06-19,BK1029,汽车整车,1213.4,0.86,-332935168,-2.67,-406425264,-3.26,73490096,0.59,-8014480,-0.06,340949632,2.74
2023-06-16,BK1029,汽车整车,1203.09,-0.23,-959608480,-6.74,-623809248,-4.38,-335799232,-2.36,136060736,0.96,823547760,5.78
