日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-12,BK1037,消费电子,1117.01,-1.94,-1717587600,-7.66,-1114498448,-4.97,-603089152,-2.69,214836992,0.96,1498171904,6.68
2023-07-11,BK1037,消费电子,1139.15,2.03,910510896,4.61,719200048,3.64,191310848,0.97,-421222912,-2.13,-491759104,-2.49
2023-07-10,BK1037,消费电子,1116.52,-0.76,-861024176,-5.73,-449686624,-2.99,-411337552,-2.74,293466368,1.95,563622144,3.75
2023-07-07,BK1037,消费电子,1125.09,-1.33,-1063478080,-6.23,-469871760,-2.75,-593606320,-3.48,119726592,0.7000000000000001,943735040,5.53
2023-07-06,BK1037,消费电子,1140.22,0.38,-572815888,-2.93,-197260048,-1.01,-375555840,-1.92,40960256,0.21,532016384,2.72
2023-07-05,BK1037,消费电子,1135.91,-1.03,-1224626272,-5.8,-690069344,-3.27,-534556928,-2.53,16202240,0.08,1210010880,5.73
2023-07-04,BK1037,消费电子,1147.75,1.7000000000000002,320892384,1.24,381763296,1.48,-60870912,-0.24,-320549376,-1.24,185856,0.0
2023-07-03,BK1037,消费电子,1128.57,-0.49,502685696,1.55,397420544,1.23,105265152,0.33,-840430336,-2.6,333486336,1.03
2023-06-30,BK1037,消费电子,1134.14,1.73,601295616,2.31,601279488,2.31,16128,0.0,-397068288,-1.52,-204503040,-0.78
2023-06-29,BK1037,消费电子,1114.8,2.83,1348773904,5.06,1183787280,4.44,164986624,0.62,-673315584,-2.53,-672881152,-2.52
2023-06-28,BK1037,消费电子,1084.11,-1.74,-1088948720,-4.98,-409126128,-1.87,-679822592,-3.11,90063872,0.41,997363200,4.5600000000000005
2023-06-27,BK1037,消费电子,1103.32,1.38,335605216,1.79,203308000,1.08,132297216,0.71,-197494016,-1.05,-141059584,-0.75
2023-06-26,BK1037,消费电子,1088.29,-2.7,-1617452832,-6.6,-664336928,-2.71,-953115904,-3.89,-56759040,-0.23,1675331072,6.83
2023-06-21,BK1037,消费电子,1118.49,-2.08,-2089622064,-7.72,-1121896240,-4.14,-967725824,-3.5700000000000003,-140198144,-0.52,2230155776,8.24
2023-06-20,BK1037,消费电子,1142.21,0.38,-251714304,-0.7000000000000001,-374445824,-1.04,122731520,0.34,-129001984,-0.36,378265088,1.05
2023-06-19,BK1037,消费电子,1137.89,1.88,596923920,1.93,645814032,2.08,-48890112,-0.16,-396660480,-1.28,-200217344,-0.65
2023-06-16,BK1037,消费电子,1116.93,1.24,1153865328,4.22,1346836336,4.93,-192971008,-0.71,-548898048,-2.01,-602149376,-2.2
