日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-14,BK0484,贸易行业,8565.67,0.36,-302042416,-5.16,-128521760,-2.19,-173520656,-2.96,-8266224,-0.14,310885824,5.31
2023-07-13,BK0484,贸易行业,8535.25,2.23,132950656,2.72,127461632,2.61,5489024,0.11,-98955008,-2.02,-33634672,-0.6900000000000001
2023-07-12,BK0484,贸易行业,8348.7,-1.64,-413820035,-10.43,-203815331,-5.14,-210004704,-5.29,-24638464,-0.62,437593824,11.03
2023-07-11,BK0484,贸易行业,8487.86,0.84,-143473006,-3.92,-53091854,-1.45,-90381152,-2.47,1099328,0.03,141588544,3.87
2023-07-10,BK0484,贸易行业,8417.42,-0.30000000000000004,-169484950,-4.84,-51542662,-1.47,-117942288,-3.37,-9913104,-0.28,178067168,5.09
2023-07-07,BK0484,贸易行业,8442.4,-0.04,-182829597,-4.96,-81189053,-2.2,-101640544,-2.76,-65022464,-1.76,247623984,6.71
2023-07-06,BK0484,贸易行业,8445.45,0.18,-158922956,-4.62,-57999564,-1.69,-100923392,-2.94,8580416,0.25,150646224,4.38
2023-07-05,BK0484,贸易行业,8429.92,-0.47,-154561302,-3.32,-41450502,-0.89,-113110800,-2.43,24302128,0.52,131074800,2.8200000000000003
2023-07-04,BK0484,贸易行业,8470.07,0.63,-150480707,-3.28,-86565379,-1.89,-63915328,-1.4,-19471632,-0.43,169659504,3.7
2023-07-03,BK0484,贸易行业,8417.26,1.07,-2111014,-0.05,7315946,0.17,-9426960,-0.22,-20854816,-0.49,24353888,0.58
2023-06-30,BK0484,贸易行业,8328.31,1.04,-127050813,-3.5,-37103805,-1.02,-89947008,-2.48,-43414176,-1.2,169929120,4.69
2023-06-29,BK0484,贸易行业,8242.89,0.87,1034672,0.03,58802464,1.61,-57767792,-1.58,-68572880,-1.88,69182880,1.9
2023-06-28,BK0484,贸易行业,8172.12,-0.52,-218624510,-5.66,-92395342,-2.39,-126229168,-3.27,-90892128,-2.35,309684480,8.02
2023-06-27,BK0484,贸易行业,8214.67,1.75,3117374,0.07,28274526,0.64,-25157152,-0.5700000000000001,-1040592,-0.02,-2163728,-0.05
2023-06-26,BK0484,贸易行业,8073.63,-2.13,-379883507,-7.13,-183085267,-3.44,-196798240,-3.69,71490208,1.34,309009824,5.8
2023-06-21,BK0484,贸易行业,8248.94,-0.32,-115663440,-2.48,-26628240,-0.5700000000000001,-89035200,-1.91,-33874880,-0.73,149557104,3.21
2023-06-20,BK0484,贸易行业,8275.39,-1.46,-480896320,-10.54,-238306736,-5.22,-242589584,-5.32,4828032,0.11,474932192,10.41
2023-06-19,BK0484,贸易行业,8397.98,-1.05,-374261504,-6.64,-155734352,-2.76,-218527152,-3.88,92069696,1.63,281166480,4.99
2023-06-16,BK0484,贸易行业,8487.14,0.74,-14721392,-0.27,71599456,1.31,-86320848,-1.57,-48600112,-0.89,63126256,1.15
