日期,股票简称,最新价,涨跌幅,换手率,流入资金(亿元),流出资金(亿元),净额(亿元),净买入率,成交额(亿元),涨速(%),量比,振幅(%),流通股,流通市值(亿),市盈率,流通市值
2023-08-14,明泰铝业,14.5,-1.43%,2.71%,1.9,1.87,0.03,0.02%,3.77,0.0,1.16,3.26,970000000.0,,9.94,14062000000.0
2023-08-11,明泰铝业,14.71,-1.47%,2.09%,1.18,1.83,-0.65,-0.46%,3.02,-0.07,0.72,4.29,970000000.0,,10.08,14266000000.0
2023-08-10,明泰铝业,14.93,-1.26%,1.55%,0.811789,1.44,-0.628211,-0.43%,2.25,-0.07,0.48,2.05,970000000.0,,10.23,14479000000.0
2023-08-09,明泰铝业,15.12,1.54%,3.54%,2.78,2.4,0.38,0.26%,5.18,0.0,1.13,5.37,970000000.0,,10.37,14663999999.999996
2023-08-08,明泰铝业,14.89,-0.33%,1.86%,1.17,1.52,-0.35,-0.24%,2.69,-0.2,0.47,2.48,970000000.0,,10.21,14441000000.0
2023-08-07,明泰铝业,14.93,-1.65%,2.61%,1.72,2.06,-0.34,-0.23%,3.78,0.07,0.58,2.5,970000000.0,,10.24,14488999999.999996
2023-08-04,明泰铝业,15.18,0.86%,4.82%,3.62,3.63,-0.01,-0.01%,7.25,0.0,1.1,5.25,970000000.0,,10.41,14722000000.0
2023-08-02,明泰铝业,15.22,-0.26%,3.23%,2.01,2.76,-0.75,-0.51%,4.77,-0.07,0.61,2.03,970000000.0,,10.43,14761000000.000004
2023-08-01,明泰铝业,15.26,-3.23%,5.87%,3.81,4.95,-1.14,-0.77%,8.76,0.0,0.99,4.18,970000000.0,,10.46,14799000000.0
2023-07-31,明泰铝业,15.77,9.97%,5.58%,4.0,4.43,-0.43,-0.28%,8.43,0.0,1.11,7.88,970000000.0,,10.81,15294000000.0
2023-07-28,明泰铝业,14.34,2.14%,4.15%,3.25,2.45,0.7999999999999997,0.58%,5.7,-0.21,0.94,4.84,970000000.0,,9.83,13907000000.0
2023-07-27,明泰铝业,14.04,-0.43%,4.46%,2.86,3.31,-0.45,-0.33%,6.17,-0.14,1.19,4.75,970000000.0,,9.62,13616000000.0
2023-07-26,明泰铝业,14.1,-0.42%,6.27%,3.98,4.67,-0.69,-0.50%,8.65,0.79,2.32,5.08,970000000.0,,9.67,13674000000.0
2023-07-24,明泰铝业,12.87,-1.91%,1.09%,0.511533,0.8519909999999999,-0.340458,-0.27%,1.36,-0.08,0.71,2.13,970000000.0,,8.82,12482000000.0
2023-07-21,明泰铝业,13.12,0.46%,0.99%,0.671481,0.5833229999999999,0.08815800000000007,0.07%,1.25,0.0,0.51,1.69,970000000.0,,8.99,12724000000.0
2023-07-20,明泰铝业,13.07,0.46%,1.29%,0.864276,0.770972,0.093304,0.07%,1.64,-0.08,0.58,2.0,970000000.0,,8.95,12666000000.0
2023-07-19,明泰铝业,13.01,-1.21%,0.97%,0.531141,0.700204,-0.16906300000000002,-0.13%,1.23,0.0,0.42,2.13,970000000.0,,8.92,12617000000.0
2023-07-17,明泰铝业,12.82,-2.21%,2.27%,0.946059,1.88,-0.933941,-0.75%,2.82,-0.08,1.1,2.98,970000000.0,,8.79,12433000000.0
2023-07-14,明泰铝业,13.12,-3.39%,2.95%,1.17,2.58,-1.41,-1.11%,3.8,0.0,1.48,4.57,970000000.0,,8.99,12714000000.0
2023-07-13,明泰铝业,13.58,2.34%,2.71%,2.15,1.44,0.71,0.54%,3.58,-0.07,1.55,3.47,970000000.0,,9.31,13169999999.999998
2023-07-12,明泰铝业,13.27,-0.23%,1.50%,0.922337,0.991228,-0.068891,-0.05%,1.93,0.08,0.86,2.93,970000000.0,,9.1,12869000000.0
2023-07-11,明泰铝业,13.3,-1.04%,1.64%,0.790663,1.33,-0.539337,-0.42%,2.12,0.08,0.92,2.08,970000000.0,,9.12,12899000000.0
2023-07-10,明泰铝业,13.44,-1.03%,1.53%,0.847266,1.16,-0.312734,-0.24%,2.0,0.07,0.76,1.62,970000000.0,,9.21,13034000000.0
2023-07-07,明泰铝业,13.58,-1.45%,2.65%,1.38,2.1,-0.72,-0.55%,3.48,0.0,1.25,2.98,970000000.0,,9.31,13169999999.999998
2023-07-06,明泰铝业,13.78,-0.72%,1.41%,0.830368,1.06,-0.229632,-0.17%,1.89,0.0,0.69,2.09,970000000.0,133.64,9.45,
2023-07-05,明泰铝业,13.88,-0.43%,1.45%,0.705129,1.25,-0.544871,-0.40%,1.95,0.0,0.7,1.86,970000000.0,134.61,9.52,
2023-07-04,明泰铝业,13.94,-1.41%,1.90%,0.9755389999999999,1.61,-0.6344609999999999,-0.47%,2.58,0.0,0.9,3.32,970000000.0,135.19,9.56,
2023-07-03,明泰铝业,14.14,1.87%,2.63%,1.8,1.78,0.02,0.01%,3.57,0.0,1.4,2.95,970000000.0,137.13,9.69,
2023-06-30,明泰铝业,13.88,4.28%,3.22%,2.78,1.53,1.25,0.93%,4.3,0.07,2.07,6.09,970000000.0,134.61,9.52,
2023-06-29,明泰铝业,13.31,-0.75%,1.11%,0.619391,0.814006,-0.194615,-0.15%,1.43,-0.23,0.63,1.86,970000000.0,129.08,9.12,
