日期,股票简称,最新价,涨跌幅,换手率,流入资金(亿元),流出资金(亿元),净额(亿元),净买入率,成交额(亿元),涨速(%),量比,振幅(%),流通股,流通市值(亿),市盈率,流通市值
2023-07-19,明泰铝业,13.01,-1.21%,0.97%,0.531141,0.700204,-0.169063,-0.13%,1.23,0.0,0.42,2.13,970000000.0,,8.92,12617000000.0
2023-07-17,明泰铝业,12.82,-2.21%,2.27%,0.946059,1.88,-0.933941,-0.75%,2.82,-0.08,1.1,2.98,970000000.0,,8.79,12433000000.0
2023-07-14,明泰铝业,13.12,-3.39%,2.95%,1.17,2.58,-1.41,-1.11%,3.8,0.0,1.48,4.57,970000000.0,,8.99,12714000000.0
2023-07-13,明泰铝业,13.58,2.34%,2.71%,2.15,1.44,0.71,0.54%,3.58,-0.07,1.55,3.47,970000000.0,,9.31,13169999999.999998
2023-07-12,明泰铝业,13.27,-0.23%,1.50%,0.922337,0.991228,-0.068891,-0.05%,1.93,0.08,0.86,2.93,970000000.0,,9.1,12869000000.0
2023-07-11,明泰铝业,13.3,-1.04%,1.64%,0.790663,1.33,-0.539337,-0.42%,2.12,0.08,0.92,2.08,970000000.0,,9.12,12899000000.0
2023-07-10,明泰铝业,13.44,-1.03%,1.53%,0.847266,1.16,-0.312734,-0.24%,2.0,0.07,0.76,1.62,970000000.0,,9.21,13034000000.0
2023-07-07,明泰铝业,13.58,-1.45%,2.65%,1.38,2.1,-0.72,-0.55%,3.48,0.0,1.25,2.98,970000000.0,,9.31,13169999999.999998
2023-07-06,明泰铝业,13.78,-0.72%,1.41%,0.830368,1.06,-0.229632,-0.17%,1.89,0.0,0.69,2.09,970000000.0,133.64,9.45,
2023-07-05,明泰铝业,13.88,-0.43%,1.45%,0.705129,1.25,-0.544871,-0.40%,1.95,0.0,0.7,1.86,970000000.0,134.61,9.52,
2023-07-04,明泰铝业,13.94,-1.41%,1.90%,0.9755389999999999,1.61,-0.6344609999999999,-0.47%,2.58,0.0,0.9,3.32,970000000.0,135.19,9.56,
2023-07-03,明泰铝业,14.14,1.87%,2.63%,1.8,1.78,0.02,0.01%,3.57,0.0,1.4,2.95,970000000.0,137.13,9.69,
2023-06-30,明泰铝业,13.88,4.28%,3.22%,2.78,1.53,1.25,0.93%,4.3,0.07,2.07,6.09,970000000.0,134.61,9.52,
2023-06-29,明泰铝业,13.31,-0.75%,1.11%,0.619391,0.814006,-0.194615,-0.15%,1.43,-0.23,0.63,1.86,970000000.0,129.08,9.12,
2023-06-28,明泰铝业,13.41,-1.69%,1.54%,0.770424,1.22,-0.44957600000000003,-0.35%,1.99,-0.08,0.87,3.15,970000000.0,130.05,9.19,
2023-06-27,明泰铝业,13.64,3.65%,2.04%,1.75,0.929571,0.8204290000000001,0.62%,2.68,-0.15,1.19,4.33,970000000.0,132.28,9.35,
2023-06-26,明泰铝业,13.16,-0.08%,1.48%,1.04,0.85295,0.18705,0.15%,1.89,-0.08,0.85,3.87,970000000.0,127.63,9.02,
