日期,股票简称,最新价,涨跌幅,换手率,流入资金(亿元),流出资金(亿元),净额(亿元),净买入率,成交额(亿元),涨速(%),量比,振幅(%),流通股,流通市值,市盈率
2023-08-14,信音电子,25.7,3.38%,30.18%,1.65,1.44,0.21,2.00%,3.09,0.0,1.15,8.77,40782900.0,1048000000.0,57.41
2023-08-11,信音电子,24.86,0.08%,31.04%,1.5,1.7,-0.2,-1.97%,3.19,0.08,1.27,5.51,40782900.0,1014000000.0,55.53
2023-08-10,信音电子,24.84,2.01%,29.84%,1.53,1.5,0.03,0.30%,3.03,0.04,1.26,5.67,40782900.0,1013000000.0,55.48
2023-08-09,信音电子,24.35,-0.73%,20.26%,0.8432069999999999,1.15,-0.306793,-3.09%,1.99,0.04,0.77,3.26,40782900.0,993000000.0,57.16
2023-08-08,信音电子,24.53,2.46%,30.84%,1.57,1.49,0.08,0.80%,3.06,0.0,0.99,7.81,40782900.0,1000000000.0,57.59
2023-08-07,信音电子,23.79,1.84%,17.51%,0.8271620000000002,0.8218209999999998,0.005341000000000298,0.05%,1.68,0.0,0.65,3.94,40782900.0,976000000.0,56.2
2023-08-04,信音电子,23.36,-1.56%,21.36%,0.852398,1.2,-0.347602,-3.65%,2.05,0.04,0.71,3.5,40782900.0,953000000.0,54.84
2023-08-03,信音电子,23.73,-3.34%,25.72%,0.991762,1.44,-0.448238,-4.63%,2.48,-0.13,0.89,4.03,40782900.0,968000000.0,55.71
2023-08-02,信音电子,24.55,-1.45%,33.77%,1.43,1.89,-0.46,-4.60%,3.31,0.0,1.32,3.85,40782900.0,1001000000.0,57.63
2023-08-01,信音电子,24.91,9.21%,54.00%,2.82,2.55,0.27,2.66%,5.37,0.0,2.92,12.01,40782900.0,1016000000.0,58.48
2023-07-31,信音电子,22.81,1.88%,17.63%,0.812804,0.8076180000000001,0.005186,0.06%,1.62,0.0,0.88,3.39,40782900.0,930000000.0,53.55
2023-07-28,信音电子,22.39,-0.97%,18.30%,0.734848,0.9188620000000001,-0.184014,-2.02%,1.65,-0.05,0.8,3.76,40782900.0,913000000.0,52.56
2023-07-27,信音电子,22.61,3.10%,21.26%,1.05,0.896019,0.153981,1.67%,1.94,-0.04,0.87,5.2,40782900.0,922000000.0,53.08
2023-07-26,信音电子,21.93,-2.23%,16.30%,0.568712,0.902756,-0.334044,-3.74%,1.47,0.0,0.59,3.03,40782900.0,894000000.0,51.48
2023-07-24,信音电子,22.12,-5.23%,24.88%,1.01,1.23,-0.22,-2.44%,2.24,-0.05,0.56,5.57,40782900.0,902000000.0,51.93
2023-07-21,信音电子,23.34,2.32%,33.06%,1.57,1.6,-0.03,-0.32%,3.17,0.04,0.71,6.97,40782900.0,952000000.0,54.79
2023-07-20,信音电子,22.74,-1.98%,26.73%,1.07,1.44,-0.37,-3.98%,2.53,0.0,0.54,4.09,40782900.0,930000000.0,53.55
2023-07-19,信音电子,23.18,-1.53%,31.22%,1.2,1.69,-0.49,-5.18%,2.96,0.04,0.52,4.42,40782900.0,946000000.0,54.47
2023-07-17,信音电子,28.51,35.76%,71.75%,4.45,4.25,0.2,1.72%,8.71,0.0,--,16.67,40782900.0,1163000000.0,66.93
