日期,股票简称,最新价,涨跌幅,换手率,流入资金(亿元),流出资金(亿元),净额(亿元),净买入率,成交额(亿元),涨速(%),量比,振幅(%),流通股,流通市值(亿),市盈率,流通市值
2023-07-19,亚钾国际,26.03,3.58%,1.55%,2.22,1.02,1.2000000000000004,0.57%,3.25,-0.15,2.48,4.97,810000000.0,,18.02,21088000000.0
2023-07-17,亚钾国际,24.76,0.53%,0.52%,0.647355,0.387906,0.259449,0.13%,1.04,0.04,0.94,1.79,810000000.0,,17.17,20100000000.0
2023-07-14,亚钾国际,24.63,-0.48%,0.42%,0.458329,0.388687,0.069642,0.03%,0.847015,-0.04,0.63,1.5,810000000.0,,17.04,19946000000.0
2023-07-13,亚钾国际,24.75,-0.52%,0.58%,0.55156,0.62112,-0.06956,-0.03%,1.17,0.08,0.67,1.89,810000000.0,,17.12,20043000000.0
2023-07-12,亚钾国际,24.88,1.18%,0.83%,1.0,0.673333,0.326667,0.16%,1.67,0.0,1.01,2.48,810000000.0,,17.21,20149000000.0
2023-07-11,亚钾国际,24.58,0.41%,0.56%,0.5425369999999999,0.55519,-0.012653,-0.01%,1.1,0.08,0.76,2.53,810000000.0,,17.01,19914000000.0
2023-07-10,亚钾国际,24.48,0.66%,0.67%,0.6968300000000001,0.6215890000000001,0.075241,0.04%,1.32,0.0,0.81,1.69,810000000.0,,16.94,19825000000.0
2023-07-07,亚钾国际,24.32,-0.53%,0.67%,0.555657,0.766149,-0.210492,-0.11%,1.32,0.0,0.82,1.59,810000000.0,,16.82,19695000000.0
2023-07-06,亚钾国际,24.45,3.25%,1.57%,1.66,1.4,0.26,0.13%,3.08,0.0,2.54,5.74,810000000.0,198.0,16.91,
2023-07-05,亚钾国际,23.68,1.46%,0.60%,0.7532770000000001,0.3901,0.363177,0.19%,1.14,-0.04,0.87,2.27,810000000.0,191.77,16.38,
2023-07-04,亚钾国际,23.34,-0.38%,0.44%,0.32559,0.511688,-0.186098,-0.10%,0.837324,0.09,0.64,1.28,810000000.0,189.02,16.15,
2023-07-03,亚钾国际,23.43,2.14%,0.81%,0.965087,0.582383,0.382704,0.20%,1.55,-0.04,1.26,2.88,810000000.0,189.74,16.21,
2023-06-30,亚钾国际,22.94,1.82%,0.68%,0.849083,0.411315,0.4377680000000001,0.24%,1.26,0.04,1.01,3.24,810000000.0,185.78,15.87,
2023-06-29,亚钾国际,22.53,-2.00%,0.56%,0.341055,0.688973,-0.347918,-0.19%,1.03,0.0,0.8,1.65,810000000.0,182.46,15.59,
2023-06-28,亚钾国际,22.99,0.88%,0.95%,0.9551780000000001,0.809823,0.14535499999999998,0.08%,1.78,0.04,1.35,3.86,810000000.0,186.18,15.9,
2023-06-27,亚钾国际,22.79,0.97%,0.46%,0.4949060000000001,0.361223,0.13368300000000008,0.07%,0.8561290000000001,0.0,0.67,2.61,810000000.0,184.56,15.77,
2023-06-26,亚钾国际,22.68,-0.53%,0.52%,0.377354,0.5528069999999999,-0.175453,-0.10%,0.9528610000000001,0.09,0.82,2.59,810000000.0,182.78,15.61,
