日期,股票简称,最新价,涨跌幅,换手率,流入资金(亿元),流出资金(亿元),净额(亿元),净买入率,成交额(亿元),涨速(%),量比,振幅(%),流通股,流通市值(亿),市盈率,流通市值
2023-07-13,中亚股份,8.69,1.16%,0.64%,0.090908,0.089047,0.001861,0.01%,0.179955,0.23,0.98,1.51,327000000.0,,28.04,2844000000.0
2023-07-12,中亚股份,8.59,-2.05%,0.67%,0.07679299999999999,0.11180999999999999,-0.035017000000000006,-0.12%,0.188603,0.23,1.03,2.85,327000000.0,,27.72,2811000000.0
2023-07-11,中亚股份,8.77,1.62%,0.64%,0.088266,0.085016,0.00325,0.01%,0.183499,0.23,0.92,1.97,327000000.0,,28.3,2870000000.0
2023-07-10,中亚股份,8.63,-0.69%,0.75%,0.096004,0.114831,-0.018827,-0.07%,0.210835,0.0,0.92,4.37,327000000.0,,27.85,2824000000.0
2023-07-07,中亚股份,8.69,-1.14%,0.59%,0.077026,0.090982,-0.013956,-0.05%,0.168016,0.12,0.62,3.87,327000000.0,,28.04,2844000000.0
2023-07-06,中亚股份,8.79,-0.23%,0.59%,0.089794,0.08096900000000001,0.00882499999999999,0.03%,0.170763,0.0,0.49,1.93,327000000.0,28.77,28.36,
2023-07-05,中亚股份,8.81,-1.34%,0.68%,0.098489,0.098674,-0.000185,-0.00%,0.197163,0.0,0.5,2.24,327000000.0,28.83,28.43,
2023-07-04,中亚股份,8.93,0.90%,0.90%,0.132321,0.131024,0.001297,0.00%,0.263345,0.0,0.64,2.15,327000000.0,29.23,28.82,
2023-07-03,中亚股份,8.88,-1.99%,1.30%,0.16400499999999998,0.21710100000000004,-0.05309600000000004,-0.18%,0.381106,0.0,0.84,4.08,327000000.0,29.06,28.66,
2023-06-30,中亚股份,9.06,-0.98%,1.30%,0.17363,0.213522,-0.039892,-0.13%,0.387152,0.0,0.78,1.64,327000000.0,29.65,29.24,
2023-06-29,中亚股份,9.15,3.16%,1.89%,0.318254,0.238438,0.079816,0.27%,0.56425,0.11,1.0,4.62,327000000.0,29.95,29.53,
2023-06-28,中亚股份,8.87,-0.34%,1.36%,0.188857,0.198955,-0.010098,-0.03%,0.387812,0.11,0.75,4.04,327000000.0,29.03,28.62,
2023-06-27,中亚股份,8.9,1.71%,1.20%,0.179062,0.166194,0.012868000000000001,0.04%,0.345256,-0.11,0.66,3.09,327000000.0,29.13,28.72,
2023-06-26,中亚股份,8.72,-1.80%,1.87%,0.20234,0.3354,-0.13305999999999998,-0.46%,0.541883,0.11,1.08,3.72,327000000.0,28.64,28.23,
