日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-14,BK1083,千金藤素,995.6,0.37,-8692156,-1.19,-5555216,-0.76,-3136940,-0.43,-47554739,-6.5,56246898,7.69
2023-07-13,BK1083,千金藤素,991.94,0.93,-61088216,-5.5,5311832,0.48,-66400048,-5.98,40505888,3.65,20582320,1.85
2023-07-12,BK1083,千金藤素,982.82,-2.08,-81106904,-12.19,-58960937,-8.86,-22145967,-3.33,6396541,0.96,74710355,11.23
2023-07-11,BK1083,千金藤素,1003.69,1.18,-23897759,-3.18,348747,0.05,-24246506,-3.23,22280460,2.97,1617292,0.22
2023-07-10,BK1083,千金藤素,991.95,1.56,-14521183,-1.94,1124112,0.15,-15645295,-2.09,-6722224,-0.9,21243405,2.83
2023-07-07,BK1083,千金藤素,976.69,-0.17,-36259922,-10.27,-30456907,-8.63,-5803015,-1.64,10071376,2.85,26188547,7.42
2023-07-06,BK1083,千金藤素,978.34,-0.91,-30934331,-8.23,-16743951,-4.45,-14190380,-3.78,4675322,1.24,26259010,6.99
2023-07-05,BK1083,千金藤素,987.31,-1.03,-23251982,-5.66,-18356734,-4.46,-4895248,-1.19,-4449411,-1.08,27701393,6.74
2023-07-04,BK1083,千金藤素,997.54,0.26,-16581488,-3.62,-7517352,-1.64,-9064136,-1.98,6687192,1.46,9894296,2.16
2023-07-03,BK1083,千金藤素,994.97,-0.6900000000000001,-56632589,-9.61,-929043,-0.16,-55703546,-9.46,23659699,4.02,32972889,5.6
2023-06-30,BK1083,千金藤素,1001.85,0.5700000000000001,-28715342,-6.19,-2314219,-0.5,-26401123,-5.69,-10062955,-2.17,38778297,8.36
2023-06-29,BK1083,千金藤素,996.16,1.7000000000000002,-10623399,-1.81,-8988252,-1.53,-1635147,-0.28,7949998,1.36,2673401,0.46
2023-06-28,BK1083,千金藤素,979.51,-1.23,-14712047,-3.05,-7550725,-1.57,-7161322,-1.49,-18834396,-3.91,33546443,6.96
2023-06-27,BK1083,千金藤素,991.69,2.03,-35370470,-5.22,-21363577,-3.15,-14006893,-2.07,12859316,1.9,22511149,3.32
2023-06-26,BK1083,千金藤素,971.92,-3.21,-88955142,-9.71,-40733113,-4.45,-48222029,-5.26,22299536,2.43,66655600,7.27
2023-06-21,BK1083,千金藤素,1004.15,0.27,-11430724,-1.51,20257975,2.68,-31688699,-4.19,-6086511,-0.81,17517232,2.32
2023-06-20,BK1083,千金藤素,1001.4,-0.36,-41888711,-8.26,-17971971,-3.54,-23916740,-4.71,5400266,1.06,36488445,7.19
2023-06-19,BK1083,千金藤素,1005.05,-1.82,-53386101,-8.03,-49895043,-7.51,-3491058,-0.53,-18740131,-2.8200000000000003,72126231,10.85
2023-06-16,BK1083,千金藤素,1023.64,-0.34,-35365797,-5.6,-30847146,-4.89,-4518651,-0.72,28906912,4.58,6458884,1.02
