日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-05,BK0697,IPO受益,2595.24,-0.46,-836407552,-5.27,-250141792,-1.57,-586265760,-3.69,42778880,0.27,793628768,5.0
2023-07-04,BK0697,IPO受益,2607.25,0.16,-726296976,-4.68,-739324080,-4.76,13027104,0.08,216500992,1.39,509796048,3.28
2023-07-03,BK0697,IPO受益,2602.96,1.05,377439680,1.93,315574464,1.61,61865216,0.32,-362253568,-1.85,-15185920,-0.08
2023-06-30,BK0697,IPO受益,2576.02,1.2,608116352,3.8,753232096,4.7,-145115744,-0.91,-330726656,-2.06,-277389776,-1.73
2023-06-29,BK0697,IPO受益,2545.44,0.01,-369792992,-2.99,-106618288,-0.86,-263174704,-2.13,61196272,0.5,308596720,2.5
2023-06-28,BK0697,IPO受益,2545.12,-0.04,-479284208,-3.12,-274067584,-1.78,-205216624,-1.33,13131776,0.09,466152512,3.03
2023-06-27,BK0697,IPO受益,2546.11,1.96,-197828400,-1.1,-22659632,-0.13,-175168768,-0.98,279232000,1.56,-81403648,-0.45
2023-06-26,BK0697,IPO受益,2497.08,-1.35,-1030059696,-5.4,-658861232,-3.45,-371198464,-1.94,86265600,0.45,943794432,4.94
2023-06-21,BK0697,IPO受益,2531.38,-1.28,-1867692944,-9.31,-1546249872,-7.71,-321443072,-1.6,348440832,1.74,1519251904,7.57
2023-06-20,BK0697,IPO受益,2564.1,-0.8,-610542080,-2.65,-108186112,-0.47,-502355968,-2.18,-128681728,-0.56,739223552,3.21
2023-06-19,BK0697,IPO受益,2584.8,-0.48,-668437904,-2.95,-271756944,-1.2,-396680960,-1.75,225395456,0.99,443042816,1.95
2023-06-16,BK0697,IPO受益,2597.15,0.88,538841136,2.66,407288880,2.01,131552256,0.65,-456224256,-2.26,-82617088,-0.41
