日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-03,BK0861,数字孪生,1178.94,-0.47,-254855776,-1.78,83866816,0.58,-338722592,-2.36,-166231552,-1.16,421087488,2.94
2023-08-02,BK0861,数字孪生,1184.49,0.53,13749376,0.1,123397072,0.87,-109647696,-0.77,-68869376,-0.48,55120128,0.39
2023-08-01,BK0861,数字孪生,1178.27,-0.43,-527113312,-2.8200000000000003,-243595104,-1.3,-283518208,-1.51,-165649664,-0.89,692763136,3.7
2023-07-31,BK0861,数字孪生,1183.39,0.71,-191583728,-1.01,13898256,0.07,-205481984,-1.08,1807360,0.01,189776384,1.0
2023-07-28,BK0861,数字孪生,1174.99,0.48,-330504224,-1.95,-80993664,-0.48,-249510560,-1.47,-189046528,-1.12,519550720,3.07
2023-07-27,BK0861,数字孪生,1169.43,-1.03,-648566784,-4.29,-218509984,-1.45,-430056800,-2.84,-99380480,-0.66,747947264,4.95
2023-07-26,BK0861,数字孪生,1181.64,-1.63,-1110883328,-6.47,-697908384,-4.07,-412974944,-2.41,154565632,0.9,956317696,5.57
2023-07-24,BK0861,数字孪生,1177.8,0.62,-769986400,-4.11,-591435872,-3.16,-178550528,-0.95,73650688,0.39,696335616,3.72
2023-07-21,BK0861,数字孪生,1170.56,-0.92,-854592992,-4.89,-451291248,-2.58,-403301744,-2.31,6519808,0.04,848073216,4.85
2023-07-20,BK0861,数字孪生,1181.47,-2.38,-2425490160,-12.16,-1808808432,-9.07,-616681728,-3.09,453152768,2.27,1972337408,9.89
2023-07-19,BK0861,数字孪生,1210.23,-0.13,-309346896,-1.93,-183684928,-1.15,-125661968,-0.78,-117028608,-0.73,426375424,2.66
2023-07-17,BK0861,数字孪生,1228.76,-0.14,-1058014384,-4.44,-329424048,-1.38,-728590336,-3.06,15569408,0.07,1042445056,4.37
2023-07-14,BK0861,数字孪生,1230.48,2.1,1944400288,6.42,1570276000,5.19,374124288,1.24,-926052096,-3.06,-1018348288,-3.36
2023-07-13,BK0861,数字孪生,1205.22,0.74,-936558816,-3.75,-199649760,-0.8,-736909056,-2.95,-46519040,-0.19,983077888,3.93
2023-07-12,BK0861,数字孪生,1196.36,-2.5700000000000003,-2592147552,-9.38,-1285459296,-4.65,-1306688256,-4.73,371612416,1.35,2220535040,8.04
2023-07-11,BK0861,数字孪生,1227.9,0.84,658335120,2.51,672285328,2.5700000000000003,-13950208,-0.05,-481004544,-1.84,-177331200,-0.68
2023-07-10,BK0861,数字孪生,1217.66,-0.17,-1157556720,-5.13,-1145841648,-5.07,-11715072,-0.05,423493376,1.88,734063360,3.25
2023-07-07,BK0861,数字孪生,1219.72,-1.83,-1465923200,-5.48,-588793216,-2.2,-877129984,-3.28,283467264,1.06,1182455808,4.42
2023-07-06,BK0861,数字孪生,1242.4,0.42,300101968,1.09,559579472,2.03,-259477504,-0.94,-297286912,-1.08,-2814976,-0.01
2023-07-05,BK0861,数字孪生,1237.25,-0.99,-1588257760,-6.61,-852618976,-3.55,-735638784,-3.06,221497856,0.92,1366759936,5.69
2023-07-04,BK0861,数字孪生,1249.68,1.08,-171490304,-0.71,215814912,0.89,-387305216,-1.6,-65504256,-0.27,236994560,0.98
2023-07-03,BK0861,数字孪生,1236.38,-0.52,-1542650480,-5.2,-1204875632,-4.06,-337774848,-1.14,505473024,1.7000000000000002,1037177344,3.49
2023-06-30,BK0861,数字孪生,1242.8,0.64,-520851936,-2.07,-401410016,-1.59,-119441920,-0.47,44737792,0.18,476113920,1.89
2023-06-29,BK0861,数字孪生,1234.85,2.13,-140802992,-0.53,109512784,0.41,-250315776,-0.94,-120471808,-0.45,261274880,0.98
2023-06-28,BK0861,数字孪生,1209.04,-1.95,-1896563792,-6.3,-919252304,-3.05,-977311488,-3.24,331671296,1.1,1564892416,5.2
2023-06-27,BK0861,数字孪生,1233.06,1.42,-663630496,-2.5700000000000003,-452012960,-1.75,-211617536,-0.8200000000000001,-245071104,-0.95,908701440,3.51
2023-06-26,BK0861,数字孪生,1215.77,-4.3,-2933496832,-8.19,-2281776384,-6.37,-651720448,-1.82,388393216,1.08,2545103616,7.11
2023-06-21,BK0861,数字孪生,1270.36,-2.5700000000000003,-2640366336,-8.65,-1422114560,-4.66,-1218251776,-3.99,426968064,1.4,2213398272,7.25
2023-06-20,BK0861,数字孪生,1303.86,0.33,-550118912,-1.64,633059584,1.88,-1183178496,-3.52,-322841088,-0.96,872960000,2.6
2023-06-19,BK0861,数字孪生,1299.56,1.34,-198333696,-0.66,581909248,1.93,-780242944,-2.58,-58251264,-0.19,256585216,0.85
2023-06-16,BK0861,数字孪生,1282.35,1.51,587478832,2.29,761398320,2.96,-173919488,-0.68,-262674176,-1.02,-324804608,-1.26
