日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-28,BK0604,参股保险,2264.8,2.26,1508328656,5.2,1314110416,4.53,194218240,0.67,-651692288,-2.25,-856636416,-2.96
2023-07-27,BK0604,参股保险,2214.78,-0.37,-567372960,-2.91,-301500576,-1.55,-265872384,-1.37,-75924992,-0.39,643298048,3.3
2023-07-26,BK0604,参股保险,2223.02,0.08,-1043014528,-5.24,-829808000,-4.17,-213206528,-1.07,366542080,1.84,676472320,3.4
2023-07-24,BK0604,参股保险,2175.41,0.11,-615448560,-4.91,-279267600,-2.23,-336180960,-2.68,28470112,0.23,586978464,4.69
2023-07-21,BK0604,参股保险,2173.0,0.38,-229705200,-1.75,-103109728,-0.79,-126595472,-0.96,56791984,0.43,172913152,1.32
2023-07-20,BK0604,参股保险,2164.72,-0.30000000000000004,-465006272,-3.0,-131652464,-0.85,-333353808,-2.15,-186795520,-1.2,651801856,4.2
2023-07-19,BK0604,参股保险,2171.31,0.44,-150672480,-1.18,87158496,0.68,-237830976,-1.86,-116700208,-0.91,267372704,2.09
2023-07-17,BK0604,参股保险,2162.12,-0.29,-547846240,-4.11,-346443392,-2.6,-201402848,-1.51,8040480,0.06,539805872,4.05
2023-07-14,BK0604,参股保险,2168.34,0.13,-463982640,-2.77,-202794896,-1.21,-261187744,-1.56,136069632,0.81,327912960,1.96
2023-07-13,BK0604,参股保险,2165.43,1.08,90026080,0.5,218772464,1.21,-128746384,-0.71,-311864320,-1.73,221838080,1.23
2023-07-12,BK0604,参股保险,2142.31,-1.48,-1292647648,-7.66,-593718944,-3.52,-698928704,-4.14,134816768,0.8,1157830912,6.87
2023-07-11,BK0604,参股保险,2174.58,0.36,-922680096,-6.06,-375456464,-2.46,-547223632,-3.59,-120372736,-0.79,1043052944,6.85
2023-07-10,BK0604,参股保险,2166.74,0.21,-340943968,-2.37,-189019840,-1.31,-151924128,-1.06,257662208,1.79,83281920,0.58
2023-07-07,BK0604,参股保险,2162.19,0.12,-430751920,-2.74,-373776656,-2.38,-56975264,-0.36,253285888,1.61,177466112,1.13
2023-07-06,BK0604,参股保险,2159.69,-0.25,-122414544,-0.8200000000000001,-149917168,-1.0,27502624,0.18,-121748224,-0.81,244162560,1.63
2023-07-05,BK0604,参股保险,2165.11,-0.76,-657443392,-4.22,-376007952,-2.42,-281435440,-1.81,108820992,0.7000000000000001,548622336,3.52
2023-07-04,BK0604,参股保险,2181.66,0.19,-448561664,-2.74,-139354448,-0.85,-309207216,-1.89,17829376,0.11,430732288,2.63
2023-07-03,BK0604,参股保险,2177.55,0.74,-149191552,-0.73,35354752,0.17,-184546304,-0.91,35029760,0.17,114161920,0.56
2023-06-30,BK0604,参股保险,2161.63,0.78,-299659488,-1.88,-65891760,-0.41,-233767728,-1.47,-236053760,-1.48,535713024,3.36
2023-06-29,BK0604,参股保险,2144.82,0.07,-30976464,-0.18,-58020928,-0.34,27044464,0.16,28552960,0.17,2423552,0.01
2023-06-28,BK0604,参股保险,2143.36,-0.14,-431260720,-2.4,-292040688,-1.63,-139220032,-0.77,73489152,0.41,357771520,1.99
2023-06-27,BK0604,参股保险,2146.3,1.88,635009728,3.41,256878112,1.38,378131616,2.03,-191390464,-1.03,-443619072,-2.38
2023-06-26,BK0604,参股保险,2106.68,-1.73,-821534368,-3.9,-743866528,-3.53,-77667840,-0.37,-94630656,-0.45,916165120,4.35
2023-06-21,BK0604,参股保险,2143.73,-1.37,-583819456,-2.73,-774560960,-3.63,190741504,0.89,-126815232,-0.59,710634752,3.33
2023-06-20,BK0604,参股保险,2173.51,-0.92,-482353472,-2.02,189079488,0.79,-671432960,-2.81,-140990464,-0.59,623343616,2.61
2023-06-19,BK0604,参股保险,2193.71,-0.6000000000000001,-1123631632,-5.08,-482816528,-2.18,-640815104,-2.9,329541632,1.49,794090240,3.59
2023-06-16,BK0604,参股保险,2206.9,0.46,55252096,0.25,94253184,0.43,-39001088,-0.18,49918208,0.23,-105170432,-0.48
