日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-19,BK1069,智慧灯杆,1258.79,-0.59,-355765392,-7.86,-172242112,-3.8,-183523280,-4.05,57175920,1.26,298388112,6.59
2023-07-17,BK1069,智慧灯杆,1269.57,0.14,-120612288,-2.86,-35210544,-0.84,-85401744,-2.03,12823936,0.30000000000000004,107476832,2.55
2023-07-14,BK1069,智慧灯杆,1267.75,1.49,-44960992,-0.92,-48950992,-1.01,3990000,0.08,-40674688,-0.84,87062960,1.79
2023-07-13,BK1069,智慧灯杆,1249.18,1.43,213655440,5.07,349186112,8.28,-135530672,-3.21,-104637664,-2.48,-108787232,-2.58
2023-07-12,BK1069,智慧灯杆,1231.53,-1.16,-76515656,-1.97,-80723656,-2.08,4208000,0.11,26044896,0.67,50352208,1.3
2023-07-11,BK1069,智慧灯杆,1246.03,0.74,-233998831,-6.65,-32566703,-0.93,-201432128,-5.73,14728672,0.42,217826208,6.19
2023-07-10,BK1069,智慧灯杆,1236.87,-0.44,8778306,0.25,22458930,0.64,-13680624,-0.39,-55357008,-1.58,46051824,1.32
2023-07-07,BK1069,智慧灯杆,1242.35,-0.78,-196469455,-6.02,-93811439,-2.87,-102658016,-3.14,-21529072,-0.66,217782976,6.67
2023-07-06,BK1069,智慧灯杆,1252.08,0.93,99715749,3.1,177576581,5.52,-77860832,-2.42,-178288896,-5.54,77108576,2.4
2023-07-05,BK1069,智慧灯杆,1240.54,-0.8300000000000001,-104146290,-3.84,-4333074,-0.16,-99813216,-3.68,-61880672,-2.28,166616752,6.15
2023-07-04,BK1069,智慧灯杆,1250.96,0.38,-108225733,-3.41,-10275221,-0.32,-97950512,-3.09,-18120592,-0.5700000000000001,126822032,4.0
2023-07-03,BK1069,智慧灯杆,1246.25,0.51,-9909135,-0.25,23110737,0.59,-33019872,-0.84,-23974560,-0.61,33333792,0.85
2023-06-30,BK1069,智慧灯杆,1239.91,0.96,-58245985,-1.56,-68550545,-1.84,10304560,0.28,-51934272,-1.39,109826112,2.95
2023-06-29,BK1069,智慧灯杆,1228.14,2.5,126535072,4.19,142913312,4.74,-16378240,-0.54,-129475264,-4.29,3297184,0.11
2023-06-28,BK1069,智慧灯杆,1198.2,-1.2,-183809950,-5.8100000000000005,-63223774,-2.0,-120586176,-3.81,-12308832,-0.39,196020480,6.2
2023-06-27,BK1069,智慧灯杆,1212.74,2.94,10077204,0.29,70951796,2.07,-60874592,-1.78,-64977744,-1.9,54986896,1.61
2023-06-26,BK1069,智慧灯杆,1178.07,-2.74,-196546466,-5.92,-49720498,-1.5,-146825968,-4.42,-12795552,-0.39,208731024,6.29
2023-06-21,BK1069,智慧灯杆,1211.22,-1.71,-260274195,-6.99,-48485235,-1.3,-211788960,-5.69,-80235008,-2.16,341837104,9.19
2023-06-20,BK1069,智慧灯杆,1232.26,-0.88,-231526417,-5.78,-43722545,-1.09,-187803872,-4.68,-40768080,-1.02,272190336,6.79
2023-06-19,BK1069,智慧灯杆,1243.24,0.44,-107564322,-2.29,-6643954,-0.14,-100920368,-2.15,81819424,1.75,25557520,0.55
2023-06-16,BK1069,智慧灯杆,1237.78,0.92,-81079152,-1.71,-31937760,-0.67,-49141392,-1.03,43771360,0.92,36798736,0.77
