日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-28,BK1062,新冠检测,696.82,0.75,-58880048,-0.75,65120928,0.8300000000000001,-124000976,-1.58,-148297824,-1.89,207177856,2.64
2023-07-27,BK1062,新冠检测,691.6,-0.62,-135425424,-2.16,-122311056,-1.95,-13114368,-0.21,6008368,0.1,129417056,2.06
2023-07-26,BK1062,新冠检测,695.94,0.26,-51513984,-0.6900000000000001,-52377056,-0.71,863072,0.01,96253744,1.3,-44739728,-0.6000000000000001
2023-07-24,BK1062,新冠检测,689.17,0.58,-233439565,-4.01,-163769645,-2.81,-69669920,-1.2,109120256,1.87,124319344,2.14
2023-07-21,BK1062,新冠检测,685.19,0.73,2563760,0.04,-14134960,-0.22,16698720,0.26,35534096,0.55,-38097872,-0.59
2023-07-20,BK1062,新冠检测,680.2,-0.52,-125071008,-2.31,-110117792,-2.03,-14953216,-0.28,1175424,0.02,123895584,2.29
2023-07-19,BK1062,新冠检测,683.74,-0.25,-8863216,-0.16,-1213120,-0.02,-7650096,-0.14,45882320,0.8300000000000001,-37019120,-0.67
2023-07-17,BK1062,新冠检测,688.05,-0.9,-317330576,-4.62,-195604704,-2.85,-121725872,-1.77,181243168,2.64,136087408,1.98
2023-07-14,BK1062,新冠检测,694.27,-0.29,-223470896,-3.34,-76689488,-1.15,-146781408,-2.19,28188368,0.42,195282528,2.92
2023-07-13,BK1062,新冠检测,696.29,0.8,-234776464,-3.54,-82151520,-1.24,-152624944,-2.3,2816272,0.04,231960192,3.49
2023-07-12,BK1062,新冠检测,690.75,-1.29,-238723312,-3.29,-79817568,-1.1,-158905744,-2.19,9138624,0.13,229584688,3.16
2023-07-11,BK1062,新冠检测,699.81,0.63,-297662480,-4.83,-92798160,-1.51,-204864320,-3.32,66410448,1.08,231252032,3.75
2023-07-10,BK1062,新冠检测,695.43,0.17,-6676864,-0.1,68103920,0.98,-74780784,-1.07,20600912,0.30000000000000004,-13924032,-0.2
2023-07-07,BK1062,新冠检测,694.27,-0.25,-207652304,-3.24,-144338480,-2.25,-63313824,-0.99,9264,0.0,207643040,3.24
2023-07-06,BK1062,新冠检测,696.01,-1.15,-269901616,-3.62,-186056576,-2.49,-83845040,-1.12,7159024,0.1,262742592,3.52
2023-07-05,BK1062,新冠检测,704.14,-0.24,-33653216,-0.47,82876528,1.16,-116529744,-1.63,-42456224,-0.59,76109440,1.07
2023-07-04,BK1062,新冠检测,705.82,0.0,-432518816,-4.9,-234536240,-2.66,-197982576,-2.24,53267824,0.6000000000000001,379251008,4.29
2023-07-03,BK1062,新冠检测,705.83,0.37,200254048,2.38,24528176,0.29,175725872,2.09,-76632176,-0.91,-123621856,-1.47
2023-06-30,BK1062,新冠检测,703.26,0.99,-160923344,-2.04,53104016,0.67,-214027360,-2.71,30870080,0.39,130053264,1.65
2023-06-29,BK1062,新冠检测,696.38,0.98,-199547408,-2.78,-58512112,-0.81,-141035296,-1.96,-39214528,-0.55,238761936,3.32
2023-06-28,BK1062,新冠检测,689.59,-0.54,-306574560,-3.85,-202751376,-2.55,-103823184,-1.3,100938608,1.27,205635952,2.58
2023-06-27,BK1062,新冠检测,693.36,1.32,135358464,1.62,173431904,2.08,-38073440,-0.46,-75423232,-0.9,-59935248,-0.72
2023-06-26,BK1062,新冠检测,684.34,-0.92,-342838176,-3.78,-197788848,-2.18,-145049328,-1.6,-113179056,-1.25,456017232,5.02
2023-06-21,BK1062,新冠检测,690.68,-1.11,-181983248,-1.98,26182208,0.28,-208165456,-2.27,-15465392,-0.17,197448656,2.15
2023-06-20,BK1062,新冠检测,698.41,-0.23,-237310560,-2.77,-46548240,-0.54,-190762320,-2.23,-31695088,-0.37,269005664,3.14
2023-06-19,BK1062,新冠检测,700.01,-0.56,-359179488,-3.91,-191173072,-2.08,-168006416,-1.83,118819440,1.29,240360048,2.61
2023-06-16,BK1062,新冠检测,703.93,0.47,-163104880,-1.69,9575104,0.1,-172679984,-1.79,-2708032,-0.03,165812896,1.72
