日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-19,BK1013,华为欧拉,1093.02,-0.91,-518583856,-8.86,-309149584,-5.28,-209434272,-3.58,42690656,0.73,475893232,8.13
2023-07-17,BK1013,华为欧拉,1122.69,-0.84,-628180288,-7.6,-364910672,-4.42,-263269616,-3.19,38334480,0.46,589845808,7.14
2023-07-14,BK1013,华为欧拉,1132.2,2.5700000000000003,-367535904,-3.28,-372964368,-3.33,5428464,0.05,119994400,1.07,247541504,2.21
2023-07-13,BK1013,华为欧拉,1103.85,0.38,-426775312,-4.77,-204627920,-2.29,-222147392,-2.48,74956336,0.84,351818960,3.93
2023-07-12,BK1013,华为欧拉,1099.62,-3.7,-1651695920,-15.51,-815653312,-7.66,-836042608,-7.85,141254240,1.33,1510441680,14.19
2023-07-11,BK1013,华为欧拉,1141.85,0.24,431925312,3.75,518761040,4.51,-86835728,-0.75,-283394048,-2.46,-148531264,-1.29
2023-07-10,BK1013,华为欧拉,1139.16,0.49,-35383488,-0.36,-151641488,-1.56,116258000,1.19,-57535184,-0.59,92918672,0.95
2023-07-07,BK1013,华为欧拉,1133.57,-3.1,-2586535984,-19.27,-1719569888,-12.81,-866966096,-6.46,674046928,5.02,1912489024,14.25
2023-07-06,BK1013,华为欧拉,1169.79,1.11,1213185680,11.01,1257964080,11.41,-44778400,-0.41,-534423616,-4.85,-678762032,-6.16
2023-07-05,BK1013,华为欧拉,1156.92,-0.88,-1048751744,-8.39,-602777152,-4.82,-445974592,-3.5700000000000003,78962768,0.63,969788960,7.76
2023-07-04,BK1013,华为欧拉,1167.16,1.75,209615072,1.55,213469776,1.57,-3854704,-0.03,-157881856,-1.16,-51733232,-0.38
2023-07-03,BK1013,华为欧拉,1147.06,2.54,742035024,6.57,684784896,6.06,57250128,0.51,-353195712,-3.13,-388839312,-3.44
2023-06-30,BK1013,华为欧拉,1118.62,1.22,-143561744,-1.66,-156329472,-1.81,12767728,0.15,-5636816,-0.07,149198560,1.73
2023-06-29,BK1013,华为欧拉,1105.09,0.64,-932591008,-9.34,-488221584,-4.89,-444369424,-4.45,115797856,1.16,816793152,8.18
2023-06-28,BK1013,华为欧拉,1098.07,-1.93,-574345888,-4.0,-255174528,-1.78,-319171360,-2.22,83118336,0.58,491227504,3.42
2023-06-27,BK1013,华为欧拉,1119.69,1.04,576629216,5.57,631923968,6.1,-55294752,-0.53,-337216560,-3.26,-239412656,-2.31
2023-06-26,BK1013,华为欧拉,1108.14,-6.73,-1428666624,-10.88,-566582144,-4.32,-862084480,-6.57,-19064048,-0.15,1447730672,11.03
2023-06-21,BK1013,华为欧拉,1188.15,-4.53,-1283656288,-7.72,-1007265888,-6.06,-276390400,-1.66,110985472,0.67,1172670976,7.06
2023-06-20,BK1013,华为欧拉,1244.59,1.06,727148528,4.37,862975728,5.18,-135827200,-0.8200000000000001,-505416192,-3.03,-221732336,-1.33
2023-06-19,BK1013,华为欧拉,1231.5,2.59,-399021584,-2.83,-272207328,-1.93,-126814256,-0.9,59491072,0.42,339530496,2.41
2023-06-16,BK1013,华为欧拉,1200.41,2.17,396762896,2.77,610309616,4.26,-213546720,-1.49,-216872960,-1.51,-179890080,-1.25
