日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-13,BK0990,快递概念,792.03,0.99,88952680,2.84,63703912,2.03,25248768,0.81,-76773280,-2.45,-12193280,-0.39
2023-07-12,BK0990,快递概念,784.29,-1.24,41215520,1.37,-21271616,-0.71,62487136,2.07,-122123072,-4.05,80830256,2.68
2023-07-11,BK0990,快递概念,794.14,0.74,49605991,1.92,-16842089,-0.65,66448080,2.58,-111271056,-4.32,61665296,2.39
2023-07-10,BK0990,快递概念,788.31,-0.12,2079238,0.07,8698166,0.27,-6618928,-0.21,31832896,1.0,-34213344,-1.07
2023-07-07,BK0990,快递概念,789.24,0.30000000000000004,-19656847,-0.72,-1750255,-0.06,-17906592,-0.66,26536080,0.97,-6991296,-0.26
2023-07-06,BK0990,快递概念,786.87,-0.36,-171481711,-6.96,-97353711,-3.95,-74128000,-3.01,9359760,0.38,161968784,6.57
2023-07-05,BK0990,快递概念,789.75,-0.25,-62951488,-2.23,-28230800,-1.0,-34720688,-1.23,-133741952,-4.73,196709552,6.96
2023-07-04,BK0990,快递概念,791.75,-0.25,-242149254,-8.21,-109869590,-3.72,-132279664,-4.48,-64599088,-2.19,306741312,10.39
2023-07-03,BK0990,快递概念,793.71,0.99,-11242560,-0.27,42195728,1.01,-53438288,-1.28,33519264,0.81,-22513792,-0.54
2023-06-30,BK0990,快递概念,785.92,1.33,-41110077,-1.09,7883219,0.21,-48993296,-1.3,-71968928,-1.91,113366464,3.0
2023-06-29,BK0990,快递概念,775.64,0.39,-368388240,-7.22,-115312416,-2.26,-253075824,-4.96,51820688,1.02,316687888,6.21
2023-06-28,BK0990,快递概念,772.64,0.42,33418636,1.07,85963228,2.74,-52544592,-1.6800000000000002,-59336192,-1.89,25927264,0.8300000000000001
2023-06-27,BK0990,快递概念,769.44,2.25,43180239,1.65,23281583,0.89,19898656,0.76,-108498864,-4.15,65529136,2.5
2023-06-26,BK0990,快递概念,752.5,-1.89,-202050665,-6.92,-98510777,-3.37,-103539888,-3.55,21830528,0.75,180218432,6.17
2023-06-21,BK0990,快递概念,766.96,-0.94,-45416751,-1.44,-19073071,-0.61,-26343680,-0.84,-85842576,-2.72,131289280,4.17
2023-06-20,BK0990,快递概念,774.26,-0.94,-176232760,-5.15,-86894344,-2.54,-89338416,-2.61,10154672,0.30000000000000004,166426064,4.86
2023-06-19,BK0990,快递概念,781.59,-1.19,-178015646,-5.13,-119796238,-3.45,-58219408,-1.6800000000000002,21284752,0.61,156613232,4.52
2023-06-16,BK0990,快递概念,791.03,0.21,-112899157,-3.26,-48481125,-1.4,-64418032,-1.86,-33502416,-0.97,146474960,4.23
