日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-10,BK0708,体育产业,1099.86,0.16,-246775648,-3.22,-75081184,-0.98,-171694464,-2.24,45344768,0.59,201437408,2.63
2023-07-07,BK0708,体育产业,1098.05,-0.21,-390531712,-4.65,-251860624,-3.0,-138671088,-1.65,2010128,0.02,388848080,4.63
2023-07-06,BK0708,体育产业,1100.38,0.0,-329442032,-4.12,-247417776,-3.1,-82024256,-1.03,60568016,0.76,269012256,3.37
2023-07-05,BK0708,体育产业,1100.42,-0.39,-81852016,-1.07,-51260656,-0.67,-30591360,-0.4,13387328,0.17,68926976,0.9
2023-07-04,BK0708,体育产业,1104.72,0.15,-83508704,-1.07,21976848,0.28,-105485552,-1.35,-28402016,-0.36,111929568,1.43
2023-07-03,BK0708,体育产业,1103.06,0.37,-201713024,-2.04,-51157152,-0.52,-150555872,-1.53,28307808,0.29,173410768,1.76
2023-06-30,BK0708,体育产业,1099.03,0.96,-64726240,-0.67,-115262560,-1.19,50536320,0.52,-28650064,-0.30000000000000004,93405904,0.96
2023-06-29,BK0708,体育产业,1088.61,0.6000000000000001,-269096544,-3.14,-53025248,-0.62,-216071296,-2.52,-9748352,-0.11,279042048,3.25
2023-06-28,BK0708,体育产业,1082.12,-0.45,-820393488,-8.06,-474784560,-4.66,-345608928,-3.39,282192640,2.77,537152192,5.27
2023-06-27,BK0708,体育产业,1087.03,2.73,389333984,4.36,417247376,4.67,-27913392,-0.31,-252086688,-2.8200000000000003,-138940672,-1.56
2023-06-26,BK0708,体育产业,1058.16,-2.28,-801641024,-8.07,-490144848,-4.94,-311496176,-3.14,23216032,0.23,778410368,7.84
2023-06-21,BK0708,体育产业,1082.81,-2.16,-914497600,-8.33,-597745456,-5.45,-316752144,-2.89,194230544,1.77,720113936,6.5600000000000005
2023-06-20,BK0708,体育产业,1106.71,-0.72,-289649424,-2.47,-56485456,-0.48,-233163968,-1.99,-24376864,-0.21,313812960,2.68
2023-06-19,BK0708,体育产业,1114.69,-0.53,-379539184,-3.54,-84072976,-0.79,-295466208,-2.76,-141679296,-1.32,521349280,4.87
2023-06-16,BK0708,体育产业,1120.61,0.51,-89077584,-0.74,8443680,0.07,-97521264,-0.81,-104877952,-0.87,193929872,1.61
