日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-19,BK0939,辅助生殖,1025.22,-0.23,-165023280,-5.18,-36030432,-1.13,-128992848,-4.05,-4368256,-0.14,169391552,5.32
2023-07-17,BK0939,辅助生殖,1031.02,-0.51,-248168985,-5.79,-66910009,-1.56,-181258976,-4.23,82707760,1.93,165461216,3.86
2023-07-14,BK0939,辅助生殖,1036.32,-0.68,-161749156,-3.81,-26624532,-0.63,-135124624,-3.18,94948896,2.24,66800256,1.57
2023-07-13,BK0939,辅助生殖,1043.43,0.95,-114777776,-2.39,-8012752,-0.17,-106765024,-2.22,-65021488,-1.35,179799264,3.74
2023-07-12,BK0939,辅助生殖,1033.65,-1.27,-304392150,-7.11,-126116086,-2.95,-178276064,-4.17,26454704,0.62,277937440,6.49
2023-07-11,BK0939,辅助生殖,1046.99,0.73,-73942591,-1.86,-25233343,-0.64,-48709248,-1.23,-90973696,-2.29,164916288,4.15
2023-07-10,BK0939,辅助生殖,1039.44,0.34,89569280,1.76,118543696,2.33,-28974416,-0.5700000000000001,55068880,1.08,-144638160,-2.84
2023-07-07,BK0939,辅助生殖,1035.92,0.17,-50730507,-1.29,-56766699,-1.44,6036192,0.15,33150576,0.84,17579920,0.45
2023-07-06,BK0939,辅助生殖,1034.21,-0.95,-419376809,-9.46,-199037401,-4.49,-220339408,-4.97,35964736,0.81,383412080,8.64
2023-07-05,BK0939,辅助生殖,1044.09,-0.27,-110281776,-2.15,-13651120,-0.27,-96630656,-1.88,-9311488,-0.18,119593264,2.33
2023-07-04,BK0939,辅助生殖,1046.9,0.17,-156079056,-2.68,-40868000,-0.7000000000000001,-115211056,-1.98,33748208,0.58,122330848,2.1
2023-07-03,BK0939,辅助生殖,1045.1,0.71,120478704,1.81,142054624,2.14,-21575920,-0.32,-90747840,-1.37,-29730880,-0.45
2023-06-30,BK0939,辅助生殖,1037.72,1.13,-26840336,-0.53,-30483424,-0.6000000000000001,3643088,0.07,6803648,0.13,20036688,0.39
2023-06-29,BK0939,辅助生殖,1026.11,0.76,-90717320,-1.84,-8970792,-0.18,-81746528,-1.66,13522240,0.27,77195072,1.57
2023-06-28,BK0939,辅助生殖,1018.39,-0.21,-191973016,-4.28,-47555432,-1.06,-144417584,-3.22,53142656,1.19,138830352,3.1
2023-06-27,BK0939,辅助生殖,1020.5,1.6,-19537409,-0.41,-15386161,-0.32,-4151248,-0.09,-68739856,-1.42,88277264,1.83
2023-06-26,BK0939,辅助生殖,1004.47,-1.52,-242372168,-4.37,-104379064,-1.88,-137993104,-2.49,-84840176,-1.53,327212352,5.9
2023-06-21,BK0939,辅助生殖,1019.99,-1.12,-224347936,-4.21,32726144,0.61,-257074080,-4.83,-106735344,-2.0,331083296,6.21
2023-06-20,BK0939,辅助生殖,1031.57,-0.62,-230344304,-4.31,-147034480,-2.75,-83309824,-1.56,23219648,0.43,207124624,3.88
2023-06-19,BK0939,辅助生殖,1037.96,-0.47,-368219168,-5.77,-155225840,-2.43,-212993328,-3.34,21019184,0.33,347199968,5.44
2023-06-16,BK0939,辅助生殖,1042.87,0.4,-78636432,-1.37,20497952,0.36,-99134384,-1.73,-65775968,-1.15,144412400,2.52
