日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-19,BK0499,AH股,6817.48,0.2,-1945078272,-4.22,-1079654656,-2.34,-865423616,-1.88,249409280,0.54,1695668992,3.68
2023-07-17,BK0499,AH股,6793.15,-0.71,-2966595584,-5.75,-2065873920,-4.01,-900721664,-1.75,-289957632,-0.56,3256553216,6.31
2023-07-14,BK0499,AH股,6841.67,-0.1,-2549762560,-3.86,-1408854016,-2.13,-1140908544,-1.73,1003895040,1.52,1545867776,2.34
2023-07-13,BK0499,AH股,6848.21,1.3,887453440,1.19,663544576,0.89,223908864,0.30000000000000004,-1093831168,-1.47,206377472,0.28
2023-07-12,BK0499,AH股,6760.41,-0.79,-3803096832,-5.88,-2737627136,-4.23,-1065469696,-1.65,1307154432,2.02,2495942400,3.86
2023-07-11,BK0499,AH股,6814.11,0.51,-1194783488,-2.36,99326976,0.2,-1294110464,-2.56,-234133760,-0.46,1428917248,2.8200000000000003
2023-07-10,BK0499,AH股,6779.82,0.19,-403143168,-0.74,-37073920,-0.07,-366069248,-0.67,-179630080,-0.33,582773504,1.06
2023-07-07,BK0499,AH股,6767.03,0.22,-276307712,-0.51,-115662848,-0.21,-160644864,-0.30000000000000004,-257671680,-0.47,533979648,0.98
2023-07-06,BK0499,AH股,6752.51,-0.41,-2242310400,-4.14,-1303628800,-2.41,-938681600,-1.73,211619328,0.39,2030691072,3.75
2023-07-05,BK0499,AH股,6780.64,-0.33,-2332738816,-4.55,-1432573696,-2.79,-900165120,-1.75,1072730624,2.09,1260008192,2.46
2023-07-04,BK0499,AH股,6802.93,0.19,-2130607616,-3.31,-1461139712,-2.27,-669467904,-1.04,643353344,1.0,1487254272,2.31
2023-07-03,BK0499,AH股,6790.27,1.7000000000000002,3206010624,4.04,2440089600,3.08,765921024,0.97,-1026045184,-1.29,-2179965440,-2.75
2023-06-30,BK0499,AH股,6676.74,0.74,1086227456,1.93,1378192128,2.45,-291964672,-0.52,-1086189312,-1.93,-38144,0.0
2023-06-29,BK0499,AH股,6627.57,-0.17,-2140155136,-3.83,-1107291136,-1.98,-1032864000,-1.85,-93640448,-0.17,2233795072,3.99
2023-06-28,BK0499,AH股,6639.14,0.15,-1924336384,-3.47,-1358720256,-2.45,-565616128,-1.02,494724352,0.89,1429612288,2.58
2023-06-27,BK0499,AH股,6628.89,1.56,1381039360,2.08,1748169984,2.64,-367130624,-0.55,-661332224,-1.0,-719707136,-1.09
2023-06-26,BK0499,AH股,6526.93,-1.09,-3085086208,-4.42,-2024462592,-2.9,-1060623616,-1.52,70812928,0.1,3014273792,4.32
2023-06-21,BK0499,AH股,6599.0,-1.11,-4198414848,-5.63,-3034422016,-4.07,-1163992832,-1.56,604772608,0.81,3593641984,4.82
2023-06-20,BK0499,AH股,6672.77,-0.91,-2595261696,-3.6,-1300190464,-1.8,-1295071232,-1.79,55486720,0.08,2539774976,3.52
2023-06-19,BK0499,AH股,6734.02,-0.89,-6608109312,-8.8,-4538818048,-6.04,-2069291264,-2.75,2392542720,3.18,4215566592,5.61
2023-06-16,BK0499,AH股,6794.77,0.5,-404657152,-0.5,-361683200,-0.44,-42973952,-0.05,136730624,0.17,267926528,0.33
