日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-14,BK1106,创新药,1042.21,0.79,-20173584,-0.18,146565568,1.31,-166739152,-1.49,-86057120,-0.77,106230704,0.95
2023-08-11,BK1106,创新药,1034.04,0.01,-102387040,-0.89,-67510768,-0.59,-34876272,-0.30000000000000004,53359216,0.47,49027824,0.43
2023-08-10,BK1106,创新药,1033.93,-0.15,-747358944,-8.47,-329520656,-3.73,-417838288,-4.73,-3067200,-0.03,750426176,8.5
2023-08-09,BK1106,创新药,1035.51,1.73,317177008,2.16,384818336,2.63,-67641328,-0.46,-106551808,-0.73,-210625024,-1.44
2023-08-08,BK1106,创新药,1017.95,1.13,219168640,1.57,177882032,1.27,41286608,0.30000000000000004,71973376,0.51,-291141888,-2.08
2023-08-07,BK1106,创新药,1006.61,-3.5700000000000003,-2519877520,-13.07,-911046096,-4.72,-1608831424,-8.34,328955392,1.71,2190921984,11.36
2023-08-04,BK1106,创新药,1043.93,-1.21,-593311440,-4.89,-211748096,-1.75,-381563344,-3.15,-6795360,-0.06,600106800,4.95
2023-08-03,BK1106,创新药,1056.76,1.78,95530336,0.76,86545024,0.6900000000000001,8985312,0.07,-42052912,-0.34,-53477424,-0.43
2023-08-02,BK1106,创新药,1038.31,-1.94,-1061282864,-8.64,-400593840,-3.26,-660689024,-5.38,-98766768,-0.8,1160049616,9.45
2023-08-01,BK1106,创新药,1058.84,-1.27,-811054048,-5.44,-5916784,-0.04,-805137264,-5.4,-164100352,-1.1,975154416,6.54
2023-07-31,BK1106,创新药,1072.45,-1.05,-1687186896,-10.26,-851884800,-5.18,-835302096,-5.08,76731904,0.47,1610454752,9.79
2023-07-28,BK1106,创新药,1083.79,1.26,-79225968,-0.88,-59205664,-0.65,-20020304,-0.22,-56293696,-0.62,135519664,1.5
2023-07-27,BK1106,创新药,1070.28,-0.75,-343505552,-5.83,-176670336,-3.0,-166835216,-2.83,-18442208,-0.31,361947776,6.14
2023-07-26,BK1106,创新药,1078.41,0.61,-63636720,-0.87,-80990048,-1.11,17353328,0.24,-54466064,-0.75,118102768,1.62
2023-07-24,BK1106,创新药,1067.58,1.24,-6860160,-0.08,60334992,0.71,-67195152,-0.79,-48237888,-0.56,55098048,0.64
2023-07-21,BK1106,创新药,1054.52,0.65,-80051392,-1.28,-38537552,-0.62,-41513840,-0.66,-79456960,-1.27,159508320,2.55
2023-07-20,BK1106,创新药,1047.74,-0.71,-244996803,-4.6,-153864883,-2.89,-91131920,-1.71,-2335248,-0.04,247332048,4.64
2023-07-19,BK1106,创新药,1055.25,-0.87,-255898016,-4.5,-196596128,-3.46,-59301888,-1.04,53810400,0.95,202087600,3.56
2023-07-17,BK1106,创新药,1067.88,-0.26,-143988432,-2.17,-138194512,-2.08,-5793920,-0.09,-1306592,-0.02,145295024,2.19
2023-07-14,BK1106,创新药,1070.67,-0.5,-92317315,-1.74,-60284339,-1.14,-32032976,-0.6000000000000001,12159344,0.23,80157968,1.51
2023-07-13,BK1106,创新药,1076.03,0.71,-90202880,-1.18,-108301232,-1.41,18098352,0.24,-31517328,-0.41,121720224,1.59
2023-07-12,BK1106,创新药,1068.41,-1.43,-353509840,-5.88,-237905376,-3.96,-115604464,-1.92,40860176,0.68,312649648,5.2
2023-07-11,BK1106,创新药,1083.91,0.93,192121600,2.91,100970816,1.53,91150784,1.38,-278166704,-4.21,86045104,1.3
2023-07-10,BK1106,创新药,1073.91,0.05,-108942352,-1.61,-49788864,-0.73,-59153488,-0.87,119613312,1.77,-10670944,-0.16
2023-07-07,BK1106,创新药,1073.35,0.04,40447344,0.67,12058800,0.2,28388544,0.47,-56069840,-0.92,15622496,0.26
2023-07-06,BK1106,创新药,1072.9,-1.56,-588226512,-7.34,-399784576,-4.99,-188441936,-2.35,91121840,1.14,497104656,6.2
2023-07-05,BK1106,创新药,1089.92,-0.54,-138629232,-1.17,-166597152,-1.41,27967920,0.24,-24581760,-0.21,163210992,1.38
2023-07-04,BK1106,创新药,1095.79,1.07,150899216,1.19,273536640,2.16,-122637424,-0.97,9525936,0.08,-160425152,-1.27
2023-07-03,BK1106,创新药,1084.17,0.16,-88402144,-1.06,41302496,0.5,-129704640,-1.56,65709248,0.79,22692896,0.27
2023-06-30,BK1106,创新药,1082.39,1.24,-93932608,-1.23,23192160,0.30000000000000004,-117124768,-1.53,62923536,0.8200000000000001,31009088,0.41
2023-06-29,BK1106,创新药,1069.14,0.55,-78395280,-1.14,-41240592,-0.6000000000000001,-37154688,-0.54,148791888,2.17,-70396608,-1.02
2023-06-28,BK1106,创新药,1063.3,-0.14,-293952944,-4.49,-193013856,-2.95,-100939088,-1.54,42748752,0.65,251204192,3.84
2023-06-27,BK1106,创新药,1064.8,1.59,-39943344,-0.5700000000000001,-81946144,-1.16,42002800,0.6000000000000001,-81345216,-1.15,121288544,1.72
