日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-14,BK0655,网络安全,3957.72,3.25,5005125888,7.82,4491236096,7.02,513889792,0.8,-1750491648,-2.74,-3254634496,-5.09
2023-07-13,BK0655,网络安全,3833.32,1.46,-758208768,-1.87,-353410048,-0.87,-404798720,-1.0,99121152,0.25,659087872,1.63
2023-07-12,BK0655,网络安全,3778.13,-3.0,-7696069888,-14.41,-5281873152,-9.89,-2414196736,-4.52,1752160768,3.28,5943909120,11.13
2023-07-11,BK0655,网络安全,3894.91,0.64,-126497200,-0.34,316142672,0.86,-442639872,-1.2,18892544,0.05,107604480,0.29
2023-07-10,BK0655,网络安全,3870.09,-0.49,-1671146576,-5.24,-1110649680,-3.48,-560496896,-1.76,267515392,0.84,1403631360,4.4
2023-07-07,BK0655,网络安全,3889.21,-2.0,-2937684144,-6.52,-1688431792,-3.75,-1249252352,-2.77,-115024640,-0.26,3052708864,6.78
2023-07-06,BK0655,网络安全,3968.75,0.2,-230306048,-0.49,-103277824,-0.22,-127028224,-0.27,-134743808,-0.29,365050112,0.78
2023-07-05,BK0655,网络安全,3960.87,-1.38,-3599322016,-8.01,-2143732640,-4.77,-1455589376,-3.24,788693760,1.75,2810628352,6.25
2023-07-04,BK0655,网络安全,4016.46,1.1,-716081920,-1.49,-119229696,-0.25,-596852224,-1.24,-114274816,-0.24,830357248,1.72
2023-07-03,BK0655,网络安全,3972.84,0.44,-1303628288,-2.17,-765910016,-1.27,-537718272,-0.89,351556864,0.58,952071680,1.58
2023-06-30,BK0655,网络安全,3955.28,0.98,-551448576,-1.0,22992128,0.04,-574440704,-1.04,-276334336,-0.5,827782656,1.5
2023-06-29,BK0655,网络安全,3917.01,1.31,-1578447104,-2.7,-477058816,-0.8200000000000001,-1101388288,-1.88,394680064,0.67,1183767040,2.02
2023-06-28,BK0655,网络安全,3866.44,-2.35,-3237306880,-5.59,-1950612480,-3.37,-1286694400,-2.22,379668224,0.66,2857638656,4.94
2023-06-27,BK0655,网络安全,3959.6,1.0,-1807201024,-3.43,-813706752,-1.54,-993494272,-1.89,581415680,1.1,1225785088,2.33
2023-06-26,BK0655,网络安全,3920.42,-5.0,-6534851584,-8.98,-3275247616,-4.5,-3259603968,-4.48,232182272,0.32,6302669568,8.66
2023-06-21,BK0655,网络安全,4126.8,-3.7,-8975580672,-10.35,-6489845248,-7.48,-2485735424,-2.87,1440540416,1.66,7535040000,8.69
2023-06-20,BK0655,网络安全,4285.29,0.30000000000000004,-647682816,-0.67,524249856,0.54,-1171932672,-1.2,-1223121408,-1.26,1870804480,1.92
2023-06-19,BK0655,网络安全,4272.33,2.04,-86969088,-0.1,1478803712,1.64,-1565772800,-1.74,-544110592,-0.61,631079680,0.7000000000000001
2023-06-16,BK0655,网络安全,4186.78,2.2,2347224832,2.98,2131961344,2.71,215263488,0.27,-1045899776,-1.33,-1301325312,-1.65
