日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-28,BK0849,京东金融,1226.31,2.66,360548080,12.93,189584864,6.8,170963216,6.13,-115657616,-4.15,-244890464,-8.78
2023-07-27,BK0849,京东金融,1194.5,-0.49,-84744476,-7.17,-63615498,-5.39,-21128978,-1.79,46219440,3.91,38525040,3.26
2023-07-26,BK0849,京东金融,1200.41,-0.92,-120049136,-8.33,-54767936,-3.8,-65281200,-4.53,15741952,1.09,104307184,7.24
2023-07-24,BK0849,京东金融,1186.15,-0.39,-56999578,-7.18,-23975783,-3.02,-33023795,-4.16,13497834,1.7000000000000002,43501744,5.48
2023-07-21,BK0849,京东金融,1190.75,-0.04,-29626475,-3.59,-4384807,-0.53,-25241668,-3.06,-14387736,-1.74,44014208,5.33
2023-07-20,BK0849,京东金融,1191.2,-0.64,-14400940,-1.35,-1584300,-0.15,-12816640,-1.2,15199008,1.43,-798064,-0.07
2023-07-19,BK0849,京东金融,1198.83,0.98,-4261339,-0.42,31681574,3.1,-35942913,-3.51,-15528448,-1.52,19789792,1.94
2023-07-17,BK0849,京东金融,1192.14,-0.18,59972314,5.39,77636421,6.98,-17664107,-1.59,-70143344,-6.31,10171024,0.91
2023-07-14,BK0849,京东金融,1194.31,1.08,10862166,0.84,49537511,3.83,-38675345,-2.99,-29312592,-2.26,18450448,1.43
2023-07-13,BK0849,京东金融,1181.51,1.57,63972148,4.99,55154925,4.31,8817223,0.6900000000000001,-93600032,-7.31,29627872,2.31
2023-07-12,BK0849,京东金融,1163.19,-1.87,-64716708,-5.24,-21517993,-1.74,-43198715,-3.5,-17070336,-1.38,81787056,6.63
2023-07-11,BK0849,京东金融,1185.38,0.41,17530068,1.51,32834062,2.8200000000000003,-15303994,-1.32,-80769376,-6.94,63239296,5.43
2023-07-10,BK0849,京东金融,1180.56,-0.11,1040342,0.09,19215580,1.72,-18175238,-1.63,-12966736,-1.16,11926384,1.07
2023-07-07,BK0849,京东金融,1181.82,-0.41,-16817392,-1.38,-14057650,-1.15,-2759742,-0.23,28909184,2.37,-12091776,-0.99
2023-07-06,BK0849,京东金融,1186.72,-0.33,-10528964,-0.77,-20476274,-1.51,9947310,0.73,15549968,1.14,-5021008,-0.37
2023-07-05,BK0849,京东金融,1190.6,-0.01,-14626917,-1.12,-12457932,-0.95,-2168985,-0.17,19286080,1.47,-4659152,-0.36
2023-07-04,BK0849,京东金融,1190.66,-0.1,-44773903,-3.86,-18818523,-1.62,-25955380,-2.24,17216448,1.48,27557456,2.38
2023-07-03,BK0849,京东金融,1191.88,0.46,-10973719,-0.95,8344452,0.72,-19318171,-1.6800000000000002,-598672,-0.05,11572384,1.01
2023-06-30,BK0849,京东金融,1186.41,1.02,-14906011,-1.46,15066300,1.48,-29972311,-2.94,-4941664,-0.48,19847680,1.95
2023-06-29,BK0849,京东金融,1174.48,0.1,-21605698,-2.03,-45684672,-4.3,24078974,2.27,6046032,0.5700000000000001,15559664,1.46
2023-06-28,BK0849,京东金融,1173.26,-0.22,-36306932,-2.8,-18474914,-1.42,-17832018,-1.38,360624,0.03,35946304,2.77
2023-06-27,BK0849,京东金融,1175.79,1.0,53122106,5.09,39496940,3.78,13625166,1.31,14148880,1.36,-67270976,-6.44
2023-06-26,BK0849,京东金融,1164.11,-2.8200000000000003,-95210350,-6.65,-28605554,-2.0,-66604796,-4.65,-17127424,-1.2,112337792,7.85
2023-06-21,BK0849,京东金融,1197.92,-2.59,-40629617,-2.71,-18401217,-1.23,-22228400,-1.48,43352880,2.89,-2723264,-0.18
2023-06-20,BK0849,京东金融,1229.83,-0.15,-5225798,-0.33,-25761350,-1.62,20535552,1.29,66858208,4.19,-61632416,-3.87
2023-06-19,BK0849,京东金融,1231.7,0.08,108146154,5.65,62621482,3.27,45524672,2.38,-14480064,-0.76,-93666080,-4.9
2023-06-16,BK0849,京东金融,1230.66,0.47,-12101370,-0.88,-18679530,-1.36,6578160,0.48,-4359312,-0.32,16460672,1.2
