日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-19,BK1132,MLOps概念,1092.87,0.18,1850568,0.1,7425112,0.41,-5574544,-0.31,5219712,0.29,-7070272,-0.39
2023-07-17,BK1132,MLOps概念,1122.58,0.67,8832386,0.24,24432882,0.65,-15600496,-0.42,-30825088,-0.8200000000000001,21992704,0.59
2023-07-14,BK1132,MLOps概念,1115.07,4.32,244477588,6.36,80591044,2.1,163886544,4.26,59669664,1.55,-304147264,-7.91
2023-07-13,BK1132,MLOps概念,1068.94,1.1,6029872,0.27,12787232,0.58,-6757360,-0.31,28063232,1.28,-34093104,-1.55
2023-07-12,BK1132,MLOps概念,1057.26,-3.4,-294048498,-11.25,-134407138,-5.14,-159641360,-6.11,37990528,1.45,256057968,9.79
2023-07-11,BK1132,MLOps概念,1094.46,-0.07,-44527157,-1.82,-30451765,-1.24,-14075392,-0.5700000000000001,-34389376,-1.4,78916528,3.22
2023-07-10,BK1132,MLOps概念,1095.21,-2.01,-175104771,-4.59,-88722467,-2.33,-86382304,-2.27,37802320,0.99,137302448,3.6
2023-07-07,BK1132,MLOps概念,1117.67,-1.7000000000000002,-89406758,-3.58,-32363030,-1.3,-57043728,-2.28,65928720,2.64,23478048,0.94
2023-07-06,BK1132,MLOps概念,1137.04,0.42,18690569,0.6900000000000001,-4193703,-0.16,22884272,0.85,37640352,1.4,-56330944,-2.09
2023-07-05,BK1132,MLOps概念,1132.24,-1.86,-82735421,-2.8,-41928653,-1.42,-40806768,-1.38,43706976,1.48,39028464,1.32
2023-07-04,BK1132,MLOps概念,1153.65,2.58,223335136,8.11,110350800,4.01,112984336,4.1,-13364256,-0.49,-209970880,-7.63
2023-07-03,BK1132,MLOps概念,1124.59,-0.31,-157349631,-4.53,-85489199,-2.46,-71860432,-2.07,100008464,2.88,57341152,1.65
2023-06-30,BK1132,MLOps概念,1128.12,0.66,-68523949,-2.86,-38830781,-1.62,-29693168,-1.24,62327312,2.6,6196640,0.26
2023-06-29,BK1132,MLOps概念,1120.69,0.91,-160539737,-4.66,11433495,0.33,-171973232,-4.99,150463248,4.37,10076512,0.29
2023-06-28,BK1132,MLOps概念,1110.59,-4.2,-273979794,-6.78,-108341698,-2.68,-165638096,-4.1,70465872,1.74,203513936,5.03
2023-06-27,BK1132,MLOps概念,1159.3,0.67,5596784,0.19,65698480,2.24,-60101696,-2.05,2718576,0.09,-8315344,-0.28
2023-06-26,BK1132,MLOps概念,1151.63,-6.41,-439050944,-9.74,-133921040,-2.97,-305129904,-6.77,-3582688,-0.08,442633632,9.82
2023-06-21,BK1132,MLOps概念,1230.47,-4.22,-579292352,-11.95,-168659952,-3.48,-410632400,-8.47,3514688,0.07,575777664,11.88
2023-06-20,BK1132,MLOps概念,1284.72,-0.94,-144839312,-2.73,-80015792,-1.51,-64823520,-1.22,-55232928,-1.04,200072240,3.78
2023-06-19,BK1132,MLOps概念,1296.91,4.64,131548320,2.05,166025680,2.58,-34477360,-0.54,-23314912,-0.36,-108233408,-1.6800000000000002
2023-06-16,BK1132,MLOps概念,1239.38,2.38,-94718864,-2.09,-69031856,-1.53,-25687008,-0.5700000000000001,116720960,2.58,-22002080,-0.49
