日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-01,BK0899,CRO,1595.52,-0.38,462595632,4.64,253948608,2.55,208647024,2.09,-14697984,-0.15,-447897632,-4.49
2023-07-31,BK0899,CRO,1601.61,2.06,543668640,5.25,203310480,1.96,340358160,3.29,-94633424,-0.91,-449035184,-4.33
2023-07-28,BK0899,CRO,1569.26,0.87,-111460928,-2.05,-24156752,-0.44,-87304176,-1.6,-122394944,-2.25,233855856,4.3
2023-07-27,BK0899,CRO,1555.75,-0.99,-36061904,-0.94,69741344,1.81,-105803248,-2.75,-7018304,-0.18,43080208,1.12
2023-07-26,BK0899,CRO,1571.35,0.92,199687360,4.04,176315200,3.5700000000000003,23372160,0.47,-38072512,-0.77,-161614848,-3.27
2023-07-24,BK0899,CRO,1548.69,-0.03,-69334313,-1.64,-83821545,-1.99,14487232,0.34,134478640,3.19,-65144320,-1.55
2023-07-21,BK0899,CRO,1549.19,1.13,122186016,2.4,428640,0.01,121757376,2.39,-12296960,-0.24,-109889056,-2.16
2023-07-20,BK0899,CRO,1531.82,-1.11,23627838,0.61,24908062,0.64,-1280224,-0.03,-57697776,-1.49,34069936,0.88
2023-07-19,BK0899,CRO,1548.94,-0.94,-143358040,-3.76,-116431112,-3.05,-26926928,-0.71,-21295216,-0.56,164653264,4.32
2023-07-17,BK0899,CRO,1570.74,-1.6800000000000002,-249100542,-5.39,-132745646,-2.87,-116354896,-2.52,-25061904,-0.54,274162448,5.93
2023-07-14,BK0899,CRO,1597.65,-0.27,-131865952,-2.63,-54156176,-1.08,-77709776,-1.55,75299792,1.5,56566160,1.13
2023-07-13,BK0899,CRO,1602.02,3.66,382720096,4.78,218455408,2.73,164264688,2.05,-72138032,-0.9,-310582048,-3.88
2023-07-12,BK0899,CRO,1545.52,-1.61,-224912741,-7.24,-71563653,-2.3,-153349088,-4.94,-34285776,-1.1,259198496,8.34
2023-07-11,BK0899,CRO,1570.84,1.58,-66156389,-2.24,-37918117,-1.29,-28238272,-0.96,-69264880,-2.35,135421280,4.59
2023-07-10,BK0899,CRO,1546.37,0.75,713851,0.02,-58906309,-1.63,59620160,1.65,-73521536,-2.03,72807664,2.01
2023-07-07,BK0899,CRO,1534.93,-0.94,-160455762,-5.39,-82110194,-2.76,-78345568,-2.63,-44252288,-1.49,204708032,6.88
2023-07-06,BK0899,CRO,1549.43,-1.65,-185987473,-4.74,-147537025,-3.76,-38450448,-0.98,22965648,0.59,163021824,4.16
2023-07-05,BK0899,CRO,1575.41,-0.61,-87501870,-2.3,-91438606,-2.4,3936736,0.1,136593056,3.59,-49091200,-1.29
2023-07-04,BK0899,CRO,1585.12,1.55,20196768,0.34,17545088,0.29,2651680,0.04,51605760,0.86,-71802528,-1.2
2023-07-03,BK0899,CRO,1560.87,0.7000000000000001,94434946,2.41,48224962,1.23,46209984,1.18,26641712,0.68,-121076656,-3.08
2023-06-30,BK0899,CRO,1550.01,1.13,-26419658,-0.61,18788790,0.43,-45208448,-1.05,-89774752,-2.08,116194416,2.69
2023-06-29,BK0899,CRO,1532.71,0.08,-500795248,-10.2,-256495152,-5.23,-244300096,-4.98,-36554912,-0.74,537350144,10.95
2023-06-28,BK0899,CRO,1531.5,-1.21,-355669045,-9.24,-117096357,-3.04,-238572688,-6.2,-54888368,-1.43,410557392,10.67
2023-06-27,BK0899,CRO,1550.24,0.62,-114645472,-2.86,26410704,0.66,-141056176,-3.51,-30921840,-0.77,145567312,3.63
2023-06-26,BK0899,CRO,1540.62,-0.68,-200661088,-3.46,-505744,-0.01,-200155344,-3.45,-38678560,-0.67,239339648,4.12
2023-06-21,BK0899,CRO,1551.17,-3.33,-1686378848,-14.24,-1016377024,-8.58,-670001824,-5.66,222493520,1.88,1463885392,12.36
2023-06-20,BK0899,CRO,1604.61,-0.8300000000000001,-422115808,-7.17,-313248768,-5.32,-108867040,-1.85,134683824,2.29,287432000,4.88
2023-06-19,BK0899,CRO,1618.0,-1.07,-539311705,-10.31,-334598633,-6.4,-204713072,-3.91,-8527808,-0.16,547839504,10.48
2023-06-16,BK0899,CRO,1635.46,0.02,-85947408,-1.3,-58112112,-0.88,-27835296,-0.42,-12679680,-0.19,98627088,1.49
