日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-06,BK1142,裸眼3D,979.75,-0.23,222434064,5.35,175812336,4.23,46621728,1.12,-198599856,-4.77,-23834192,-0.5700000000000001
2023-07-05,BK1142,裸眼3D,981.97,-0.75,-44301899,-1.58,-85478539,-3.05,41176640,1.47,3076000,0.11,41225888,1.47
2023-07-04,BK1142,裸眼3D,989.37,0.6000000000000001,42227134,1.52,31329694,1.12,10897440,0.39,-68001008,-2.44,25773872,0.93
2023-07-03,BK1142,裸眼3D,983.46,-0.2,55394176,1.24,-74151888,-1.66,129546064,2.9,-12541792,-0.28,-42852368,-0.96
2023-06-30,BK1142,裸眼3D,985.39,1.48,416217904,10.56,403373168,10.23,12844736,0.33,-204729824,-5.19,-211488080,-5.36
2023-06-29,BK1142,裸眼3D,971.05,1.49,-86903843,-2.96,111280573,3.79,-198184416,-6.76,-42072592,-1.43,128976432,4.4
2023-06-28,BK1142,裸眼3D,956.84,-1.09,-163561696,-5.21,-70070768,-2.23,-93490928,-2.98,23677376,0.75,139884304,4.46
2023-06-27,BK1142,裸眼3D,967.39,1.85,21101904,0.66,88348736,2.74,-67246832,-2.09,-37901920,-1.18,16800032,0.52
2023-06-26,BK1142,裸眼3D,949.82,-4.13,-203988304,-4.65,52647040,1.2,-256635344,-5.85,-29175760,-0.67,233164080,5.32
2023-06-21,BK1142,裸眼3D,990.72,-2.98,-264147216,-5.9,-115412048,-2.58,-148735168,-3.32,42655232,0.95,221492000,4.95
2023-06-20,BK1142,裸眼3D,1021.19,0.12,-184286640,-3.96,-50515856,-1.09,-133770784,-2.88,4538528,0.1,179748112,3.86
2023-06-19,BK1142,裸眼3D,1019.97,0.09,-182211840,-3.8,-28857936,-0.6000000000000001,-153353904,-3.2,60171184,1.26,122040656,2.55
2023-06-16,BK1142,裸眼3D,1019.08,1.24,-165804800,-3.45,-140241424,-2.92,-25563376,-0.53,82303776,1.71,83501024,1.74
