日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-14,BK0715,航母概念,789.1,0.17,-16128624,-0.14,127186768,1.08,-143315392,-1.22,-17716704,-0.15,33845312,0.29
2023-07-13,BK0715,航母概念,787.73,0.51,-350228688,-3.07,-196758528,-1.73,-153470160,-1.35,-86271728,-0.76,436500400,3.83
2023-07-12,BK0715,航母概念,783.74,-2.34,-1342332832,-10.4,-614808720,-4.76,-727524112,-5.64,26258048,0.2,1316074784,10.2
2023-07-11,BK0715,航母概念,802.56,0.68,-235938528,-2.15,-305900032,-2.79,69961504,0.64,-57576816,-0.52,293515344,2.67
2023-07-10,BK0715,航母概念,797.14,0.28,-157573728,-1.41,-109223008,-0.98,-48350720,-0.43,30356464,0.27,127217280,1.14
2023-07-07,BK0715,航母概念,794.95,-0.65,-215160912,-1.93,-141889264,-1.28,-73271648,-0.66,-18392160,-0.17,233553056,2.1
2023-07-06,BK0715,航母概念,800.16,-0.28,-375152864,-3.16,-303173168,-2.55,-71979696,-0.61,-30613312,-0.26,405766176,3.41
2023-07-05,BK0715,航母概念,802.37,-1.1,-1457893808,-8.61,-855891216,-5.06,-602002592,-3.56,107032576,0.63,1350861312,7.98
2023-07-04,BK0715,航母概念,811.29,0.35000000000000003,-996636080,-4.77,-789455536,-3.78,-207180544,-0.99,-206101248,-0.99,1202737152,5.76
2023-07-03,BK0715,航母概念,808.5,0.45,-25979648,-0.14,141772544,0.74,-167752192,-0.88,-228774656,-1.2,254754560,1.34
2023-06-30,BK0715,航母概念,804.9,0.76,-326757136,-1.87,-257539600,-1.47,-69217536,-0.4,-186180096,-1.07,512937216,2.93
2023-06-29,BK0715,航母概念,798.79,1.05,-439233264,-2.49,-209369328,-1.19,-229863936,-1.3,-185046784,-1.05,624280064,3.54
2023-06-28,BK0715,航母概念,790.5,0.25,-1376372336,-6.58,-856793456,-4.09,-519578880,-2.48,467196672,2.23,909175296,4.34
2023-06-27,BK0715,航母概念,788.55,2.65,710644928,3.42,860082368,4.14,-149437440,-0.72,-188600064,-0.91,-522044928,-2.51
2023-06-26,BK0715,航母概念,768.18,-1.47,-1239468672,-7.41,-821166800,-4.91,-418301872,-2.5,119027968,0.71,1120440944,6.7
2023-06-21,BK0715,航母概念,779.65,-1.46,-1265756592,-5.92,-905252784,-4.23,-360503808,-1.69,-38809344,-0.18,1304565760,6.1
2023-06-20,BK0715,航母概念,791.23,2.04,1332368544,4.87,1367940000,5.0,-35571456,-0.13,-791247104,-2.89,-541121536,-1.98
2023-06-19,BK0715,航母概念,775.38,0.73,547297600,3.12,413817408,2.36,133480192,0.76,-404909312,-2.31,-142388224,-0.81
2023-06-16,BK0715,航母概念,769.76,2.04,332578320,1.88,345472528,1.95,-12894208,-0.07,-376593664,-2.13,44015360,0.25
