日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-13,BK1114,人造太阳,979.34,-0.09,-140068395,-8.01,-89098075,-5.09,-50970320,-2.91,18157664,1.04,121910736,6.97
2023-07-12,BK1114,人造太阳,980.24,0.0,24636534,1.05,-18045722,-0.77,42682256,1.83,-8233088,-0.35000000000000003,-16403424,-0.7000000000000001
2023-07-11,BK1114,人造太阳,980.21,0.9,-133906506,-6.03,-85214154,-3.84,-48692352,-2.19,67927088,3.06,65979408,2.97
2023-07-10,BK1114,人造太阳,971.47,0.41,-18455993,-1.32,20984695,1.5,-39440688,-2.8200000000000003,-18849776,-1.35,37305792,2.67
2023-07-07,BK1114,人造太阳,967.53,-1.15,-33358510,-3.43,282444,0.03,-33640954,-3.45,-34982880,-3.59,68341392,7.02
2023-07-06,BK1114,人造太阳,978.79,-0.61,-63891164,-6.0,-37700845,-3.54,-26190319,-2.46,-4531536,-0.43,68422704,6.43
2023-07-05,BK1114,人造太阳,984.77,-0.61,-39497553,-3.12,-30252049,-2.39,-9245504,-0.73,-12427056,-0.98,51924608,4.1
2023-07-04,BK1114,人造太阳,990.79,0.21,-49345846,-3.63,-1683414,-0.12,-47662432,-3.51,-21285456,-1.57,70631296,5.2
2023-07-03,BK1114,人造太阳,988.73,0.43,-26125532,-1.79,15628884,1.07,-41754416,-2.86,-28922288,-1.98,55047824,3.77
2023-06-30,BK1114,人造太阳,984.46,0.37,-56929343,-4.26,-56127551,-4.2,-801792,-0.06,15282704,1.14,41646640,3.11
2023-06-29,BK1114,人造太阳,980.84,0.16,-44253623,-3.8,-42280007,-3.63,-1973616,-0.17,-9697792,-0.8300000000000001,53951424,4.64
2023-06-28,BK1114,人造太阳,979.31,0.71,-59788020,-5.12,-33197912,-2.84,-26590108,-2.28,7800048,0.67,51987968,4.46
2023-06-27,BK1114,人造太阳,972.43,2.19,26130092,2.22,608332,0.05,25521760,2.17,-11159440,-0.95,-14970672,-1.27
2023-06-26,BK1114,人造太阳,951.61,-1.3,-115927370,-10.02,-57371221,-4.96,-58556149,-5.06,17101952,1.48,98825440,8.54
2023-06-21,BK1114,人造太阳,964.15,-1.71,-85113239,-7.56,-57230241,-5.08,-27882998,-2.48,29333168,2.61,55780048,4.95
2023-06-20,BK1114,人造太阳,980.93,-0.32,-25129499,-1.8,-16996363,-1.22,-8133136,-0.58,49855056,3.5700000000000003,-24725552,-1.77
2023-06-19,BK1114,人造太阳,984.1,0.64,-52228045,-3.29,-17561149,-1.11,-34666896,-2.19,27198304,1.72,25029744,1.58
2023-06-16,BK1114,人造太阳,977.84,1.37,18312253,0.95,19045421,0.98,-733168,-0.04,-54512848,-2.8200000000000003,36200592,1.87
