日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-14,BK0705,上证380,2322.25,-0.37,-967738112,-1.62,-84956416,-0.14,-882781696,-1.48,-406899200,-0.68,1374636800,2.3
2023-07-13,BK0705,上证380,2330.95,0.96,137857280,0.22,195841536,0.31,-57984256,-0.09,-546108160,-0.87,408251136,0.65
2023-07-12,BK0705,上证380,2308.71,-1.0,-2287467520,-3.8,-1188638720,-1.98,-1098828800,-1.83,85461504,0.14,2202006272,3.66
2023-07-11,BK0705,上证380,2331.92,0.71,-1018547456,-1.85,-449597440,-0.8200000000000001,-568950016,-1.03,-44678656,-0.08,1063226112,1.93
2023-07-10,BK0705,上证380,2315.38,0.34,-1450095056,-2.72,-951694544,-1.78,-498400512,-0.93,534808832,1.0,915286016,1.71
2023-07-07,BK0705,上证380,2307.55,-0.36,-2217188368,-4.19,-995320336,-1.88,-1221868032,-2.31,605278464,1.14,1611909888,3.05
2023-07-06,BK0705,上证380,2315.84,-0.59,-2181227264,-3.69,-1358572032,-2.3,-822655232,-1.39,443892224,0.75,1737335040,2.94
2023-07-05,BK0705,上证380,2329.53,-0.41,-1265470464,-1.92,-317195776,-0.48,-948274688,-1.44,189245184,0.29,1076225280,1.63
2023-07-04,BK0705,上证380,2339.19,0.18,-1590121984,-2.24,-877582848,-1.23,-712539136,-1.0,276392960,0.39,1313729024,1.85
2023-07-03,BK0705,上证380,2334.97,0.7000000000000001,1144684032,1.42,1182405632,1.46,-37721600,-0.05,-441032960,-0.55,-703651072,-0.87
2023-06-30,BK0705,上证380,2318.79,1.25,439525120,0.64,324377344,0.47,115147776,0.17,-200524288,-0.29,-239000832,-0.35000000000000003
2023-06-29,BK0705,上证380,2290.07,0.25,-803705088,-1.3,-315735808,-0.51,-487969280,-0.79,136151040,0.22,667554048,1.08
2023-06-28,BK0705,上证380,2284.41,0.02,-1863120384,-3.05,-1089725696,-1.78,-773394688,-1.26,284847616,0.47,1578273024,2.58
2023-06-27,BK0705,上证380,2283.86,1.34,864126208,1.4,730124800,1.18,134001408,0.22,-232033024,-0.38,-632093184,-1.02
2023-06-26,BK0705,上证380,2253.68,-1.26,-2875163904,-4.14,-1686319616,-2.43,-1188844288,-1.71,-576449280,-0.8300000000000001,3451613184,4.97
2023-06-21,BK0705,上证380,2282.46,-1.39,-2773567744,-3.92,-1803151872,-2.55,-970415872,-1.37,4807168,0.01,2768760320,3.91
2023-06-20,BK0705,上证380,2314.71,-0.23,-2283490048,-3.19,-1313284096,-1.83,-970205952,-1.35,-263706368,-0.37,2547196416,3.55
2023-06-19,BK0705,上证380,2320.03,-0.38,-2455239424,-3.18,-1534629632,-1.99,-920609792,-1.19,599346176,0.78,1855893504,2.4
2023-06-16,BK0705,上证380,2328.8,0.45,-124889088,-0.17,-46857472,-0.06,-78031616,-0.1,44101120,0.06,80787712,0.11
