日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK0820,壳资源,1013.81,0.51,2064267,0.04,9442123,0.19,-7377856,-0.15,-43244592,-0.86,41180320,0.8200000000000001
2023-09-04,BK0820,壳资源,1013.25,1.56,-19518364,-0.34,33418644,0.58,-52937008,-0.92,-83687504,-1.45,103205872,1.78
2023-08-31,BK0820,壳资源,991.91,-0.61,-165762226,-3.39,-74019682,-1.51,-91742544,-1.88,-70504896,-1.44,236267120,4.83
2023-08-29,BK0820,壳资源,990.31,3.02,-161220107,-2.52,-40758331,-0.64,-120461776,-1.88,-94535936,-1.48,255756032,4.0
2023-08-28,BK0820,壳资源,961.28,0.26,-444610464,-6.02,-120990784,-1.64,-323619680,-4.38,24882064,0.34,419728400,5.68
2023-08-25,BK0820,壳资源,958.81,-1.92,-217196336,-3.84,-28176784,-0.5,-189019552,-3.35,-5554160,-0.1,222750512,3.94
2023-08-24,BK0820,壳资源,977.57,-0.42,-278837720,-4.98,-130445640,-2.33,-148392080,-2.65,31643392,0.56,247194320,4.41
2023-08-23,BK0820,壳资源,981.68,-1.76,-117433940,-2.19,-27671444,-0.52,-89762496,-1.67,-62043232,-1.16,179477184,3.35
2023-08-21,BK0820,壳资源,1000.03,-0.55,-272926800,-4.72,-104061984,-1.8,-168864816,-2.92,33234160,0.58,239692640,4.15
2023-08-18,BK0820,壳资源,1005.53,-1.17,-568425786,-8.07,-320810858,-4.55,-247614928,-3.51,102096192,1.45,466329584,6.62
2023-08-16,BK0820,壳资源,1001.84,-0.27,22207392,0.42,120831248,2.28,-98623856,-1.86,-146626560,-2.77,124419168,2.35
2023-08-15,BK0820,壳资源,1004.52,-0.30000000000000004,-32900075,-0.67,89008805,1.82,-121908880,-2.5,-41892304,-0.86,74792368,1.53
2023-08-14,BK0820,壳资源,1007.59,0.26,-241820488,-4.63,-163229240,-3.13,-78591248,-1.51,47126736,0.9,194693744,3.73
2023-08-11,BK0820,壳资源,1004.98,-1.44,-287458896,-5.09,-28551856,-0.51,-258907040,-4.58,5988864,0.11,281470048,4.98
2023-08-10,BK0820,壳资源,1019.7,0.30000000000000004,-241308528,-4.06,-9193904,-0.15,-232114624,-3.9,-81908128,-1.38,323216640,5.43
2023-08-09,BK0820,壳资源,1016.66,-0.76,-84811216,-1.53,14968048,0.27,-99779264,-1.8,-44226336,-0.8,129037568,2.33
2023-08-08,BK0820,壳资源,1024.45,-0.22,-229683067,-3.91,-30744795,-0.52,-198938272,-3.39,-56527904,-0.96,286210976,4.88
2023-08-07,BK0820,壳资源,1026.67,-0.15,-266515952,-4.2,-55986496,-0.88,-210529456,-3.32,42974336,0.68,223541616,3.52
2023-08-04,BK0820,壳资源,1028.24,0.02,-243090768,-3.26,-54228608,-0.73,-188862160,-2.53,5373856,0.07,237716912,3.19
2023-08-03,BK0820,壳资源,1028.05,-0.02,-23455984,-0.38,122466496,2.01,-145922480,-2.39,-76952624,-1.26,100408592,1.65
2023-08-02,BK0820,壳资源,1028.3,0.03,-193436432,-3.04,-42270288,-0.66,-151166144,-2.38,52551920,0.8300000000000001,140884528,2.21
2023-08-01,BK0820,壳资源,1027.99,-0.05,-295193046,-4.6,-104122934,-1.62,-191070112,-2.98,33751792,0.53,261441248,4.07
2023-07-31,BK0820,壳资源,1028.46,0.99,-298677120,-4.25,-172732816,-2.46,-125944304,-1.79,98640016,1.4,200037104,2.85
2023-07-28,BK0820,壳资源,1018.38,0.74,-171718768,-2.78,-71557200,-1.16,-100161568,-1.62,-54592224,-0.88,226310992,3.67
2023-07-27,BK0820,壳资源,1010.86,-0.65,-122591104,-2.2,-27557280,-0.49,-95033824,-1.7000000000000002,-45355808,-0.81,167946912,3.01
2023-07-26,BK0820,壳资源,1017.44,-0.31,-326126528,-5.07,-114868464,-1.78,-211258064,-3.28,-9295216,-0.14,335421744,5.21
2023-07-24,BK0820,壳资源,1004.74,-0.21,-195907446,-3.55,-18833254,-0.34,-177074192,-3.21,-51956304,-0.94,247863728,4.5
2023-07-21,BK0820,壳资源,1006.84,-0.5,-204478032,-2.89,-11834064,-0.17,-192643968,-2.73,-30426592,-0.43,234904624,3.33
2023-07-20,BK0820,壳资源,1011.95,-0.8,-447183200,-6.41,-107489936,-1.54,-339693264,-4.87,-27103184,-0.39,474286384,6.8
2023-07-19,BK0820,壳资源,1020.06,0.01,-130339008,-1.87,18933632,0.27,-149272640,-2.14,-120057520,-1.72,250396512,3.59
2023-07-17,BK0820,壳资源,1019.24,0.51,-20103872,-0.25,125311904,1.58,-145415776,-1.83,-126618304,-1.6,146722208,1.85
2023-07-14,BK0820,壳资源,1014.04,0.01,-177438880,-2.19,42996688,0.53,-220435568,-2.72,4910832,0.06,172528064,2.13
2023-07-13,BK0820,壳资源,1013.95,1.27,149351248,2.03,288040448,3.92,-138689200,-1.89,-72144912,-0.98,-77206336,-1.05
2023-07-12,BK0820,壳资源,1001.27,-0.97,-124880704,-1.89,53258496,0.8,-178139200,-2.69,-86240,0.0,124966960,1.89
2023-07-11,BK0820,壳资源,1011.04,0.87,-110817680,-1.98,14508992,0.26,-125326672,-2.24,-36696352,-0.65,147514016,2.63
2023-07-10,BK0820,壳资源,1002.3,-0.27,-188582872,-3.61,-111144120,-2.13,-77438752,-1.48,19136672,0.37,169446208,3.24
2023-07-07,BK0820,壳资源,1005.01,-0.5700000000000001,-127117927,-2.18,-80253639,-1.38,-46864288,-0.8,-14186352,-0.24,141304272,2.42
2023-07-06,BK0820,壳资源,1010.81,0.1,-105290656,-1.52,-54836608,-0.79,-50454048,-0.73,-85164240,-1.23,190454896,2.75
2023-07-05,BK0820,壳资源,1009.85,-0.61,-348926432,-4.94,-268541792,-3.8,-80384640,-1.14,62539328,0.88,286387104,4.05
2023-07-04,BK0820,壳资源,1016.01,1.0,-278161184,-4.26,-82572896,-1.26,-195588288,-2.99,12913248,0.2,265247936,4.06
2023-07-03,BK0820,壳资源,1005.94,1.1,7659024,0.11,109241392,1.54,-101582368,-1.43,-49139120,-0.6900000000000001,41480096,0.59
2023-06-30,BK0820,壳资源,994.98,1.07,-263984592,-3.78,-113644352,-1.63,-150340240,-2.15,13820016,0.2,250164576,3.58
2023-06-29,BK0820,壳资源,984.42,1.15,-228134272,-3.4,-27454992,-0.41,-200679280,-2.99,61692032,0.92,166442224,2.48
2023-06-28,BK0820,壳资源,973.23,-0.04,-273025824,-4.45,-4659616,-0.08,-268366208,-4.37,36851280,0.6000000000000001,236174544,3.85
2023-06-27,BK0820,壳资源,973.62,2.74,-70970752,-1.23,-24247040,-0.42,-46723712,-0.81,-54683888,-0.95,125654624,2.18
2023-06-26,BK0820,壳资源,947.7,-1.1,-153407744,-2.6,-15222528,-0.26,-138185216,-2.34,-31750992,-0.54,185158736,3.14
2023-06-21,BK0820,壳资源,958.28,-0.81,-135455216,-2.48,-22449840,-0.41,-113005376,-2.07,-60750352,-1.11,196205568,3.59
2023-06-20,BK0820,壳资源,966.13,-1.2,-302156751,-4.9,-172742639,-2.8,-129414112,-2.1,125695264,2.04,176461488,2.86
2023-06-19,BK0820,壳资源,977.87,-0.43,-252481072,-3.48,-129457552,-1.78,-123023520,-1.69,83735408,1.15,168745680,2.32
2023-06-16,BK0820,壳资源,982.12,1.06,-287213616,-3.99,-94061328,-1.31,-193152288,-2.68,32612640,0.45,254600976,3.54
