日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK0810,工业4.0,1824.93,0.54,-704466048,-3.09,-140896896,-0.62,-563569152,-2.47,-72687360,-0.32,777153024,3.4
2023-09-04,BK0810,工业4.0,1823.42,1.11,673925328,2.33,494121680,1.71,179803648,0.62,-126174720,-0.44,-546953728,-1.89
2023-08-31,BK0810,工业4.0,1799.07,0.06,-575402880,-1.98,-238972544,-0.8200000000000001,-336430336,-1.16,-192397568,-0.66,768723712,2.64
2023-08-29,BK0810,工业4.0,1770.03,5.31,1413226992,4.73,1382627056,4.63,30599936,0.1,-628628992,-2.11,-784361216,-2.63
2023-08-28,BK0810,工业4.0,1680.83,0.64,-848015936,-3.15,-339628096,-1.26,-508387840,-1.89,50681344,0.19,793824256,2.95
2023-08-25,BK0810,工业4.0,1670.11,-2.65,-1155397248,-5.71,-452996224,-2.24,-702401024,-3.47,-48282624,-0.24,1202398976,5.94
2023-08-24,BK0810,工业4.0,1715.55,-0.39,-364988016,-1.74,-103621424,-0.49,-261366592,-1.25,-177100032,-0.84,542156288,2.58
2023-08-23,BK0810,工业4.0,1722.2,-1.89,-941915008,-4.67,-321976912,-1.6,-619938096,-3.08,-36666624,-0.18,978506240,4.85
2023-08-21,BK0810,工业4.0,1750.67,-0.66,-764898128,-3.71,-375625328,-1.82,-389272800,-1.89,60165888,0.29,704339456,3.42
2023-08-18,BK0810,工业4.0,1762.26,-1.13,-603352864,-2.83,-255413792,-1.2,-347939072,-1.63,5619456,0.03,596216576,2.8
2023-08-16,BK0810,工业4.0,1736.4,-1.59,-1365089296,-7.52,-625658640,-3.45,-739430656,-4.07,-148670208,-0.8200000000000001,1512697088,8.33
2023-08-15,BK0810,工业4.0,1764.51,-0.93,-1184984768,-6.41,-681991824,-3.69,-502992944,-2.72,201408256,1.09,982868480,5.32
2023-08-14,BK0810,工业4.0,1781.07,0.6000000000000001,-665020624,-3.68,-169575200,-0.94,-495445424,-2.74,121756672,0.67,543234816,3.01
2023-08-11,BK0810,工业4.0,1770.38,-1.5,-615414352,-3.32,-159548448,-0.86,-455865904,-2.46,-191904768,-1.04,806797568,4.35
2023-08-10,BK0810,工业4.0,1797.29,0.25,-853681792,-5.14,-278577104,-1.6800000000000002,-575104688,-3.46,67690496,0.41,785907200,4.73
2023-08-09,BK0810,工业4.0,1792.75,-1.21,-1967753808,-11.23,-1033388624,-5.9,-934365184,-5.33,1265408,0.01,1965874944,11.22
2023-08-08,BK0810,工业4.0,1814.68,-0.74,-1536299248,-8.56,-651598064,-3.63,-884701184,-4.93,130620416,0.73,1405350144,7.83
2023-08-07,BK0810,工业4.0,1828.24,-0.51,-1273424944,-6.37,-613854608,-3.07,-659570336,-3.3,271917824,1.36,1000734976,5.0
2023-08-04,BK0810,工业4.0,1837.59,0.35000000000000003,-284896896,-1.15,-78692992,-0.32,-206203904,-0.8300000000000001,-11722240,-0.05,296133888,1.2
2023-08-03,BK0810,工业4.0,1831.19,-0.55,-663057344,-3.14,-224140992,-1.06,-438916352,-2.08,70131712,0.33,593088512,2.81
2023-08-02,BK0810,工业4.0,1841.4,0.72,-141278480,-0.6000000000000001,-23619856,-0.1,-117658624,-0.5,-119791872,-0.51,260674560,1.1
2023-08-01,BK0810,工业4.0,1828.19,-0.37,-840496176,-3.53,-425387312,-1.79,-415108864,-1.75,-40726528,-0.17,880435200,3.7
2023-07-31,BK0810,工业4.0,1834.9,0.61,-682024592,-2.56,-109251728,-0.41,-572772864,-2.15,22020864,0.08,658622976,2.47
2023-07-28,BK0810,工业4.0,1823.84,0.32,-398269760,-1.65,250853824,1.04,-649123584,-2.69,-461854976,-1.91,860171520,3.56
2023-07-27,BK0810,工业4.0,1818.06,-0.72,-1393034016,-6.54,-711579936,-3.34,-681454080,-3.2,34045696,0.16,1357490176,6.37
2023-07-26,BK0810,工业4.0,1831.17,-1.2,-1015444624,-4.28,-219226000,-0.92,-796218624,-3.36,-201528576,-0.85,1216630784,5.13
2023-07-24,BK0810,工业4.0,1822.15,0.46,-349479200,-1.83,295891744,1.55,-645370944,-3.38,-249898496,-1.31,599032832,3.14
2023-07-21,BK0810,工业4.0,1813.82,-1.49,-1773351056,-7.38,-636741008,-2.65,-1136610048,-4.73,-88945152,-0.37,1861850112,7.75
2023-07-20,BK0810,工业4.0,1841.31,-1.23,-1270624784,-4.34,-270704400,-0.92,-999920384,-3.42,27295488,0.09,1242079744,4.24
2023-07-19,BK0810,工业4.0,1864.3,-0.6900000000000001,-1445316016,-5.5600000000000005,-700912816,-2.7,-744403200,-2.87,106444544,0.41,1337715712,5.15
2023-07-17,BK0810,工业4.0,1877.87,0.29,-838564432,-2.99,-456074064,-1.63,-382490368,-1.37,103210752,0.37,734079232,2.62
2023-07-14,BK0810,工业4.0,1872.45,0.62,-137868864,-0.4,-102888768,-0.30000000000000004,-34980096,-0.1,47664128,0.14,89509888,0.26
2023-07-13,BK0810,工业4.0,1860.98,0.89,-262367328,-0.87,255432096,0.85,-517799424,-1.72,-461400832,-1.53,721422848,2.39
2023-07-12,BK0810,工业4.0,1844.58,-1.49,-1360345008,-4.23,-473409456,-1.47,-886935552,-2.76,67713536,0.21,1292628736,4.02
2023-07-11,BK0810,工业4.0,1872.47,1.23,-120700592,-0.47,27816784,0.11,-148517376,-0.58,-437158400,-1.71,557830400,2.18
2023-07-10,BK0810,工业4.0,1849.7,-0.8,-1002020320,-3.5700000000000003,-316963296,-1.13,-685057024,-2.44,-375820544,-1.34,1374273280,4.9
2023-07-07,BK0810,工业4.0,1864.66,-1.02,-1221810432,-4.27,-749862400,-2.62,-471948032,-1.65,-69537536,-0.24,1287527168,4.5
2023-07-06,BK0810,工业4.0,1883.93,0.04,-87955104,-0.27,49330784,0.15,-137285888,-0.42,-336374784,-1.04,421691904,1.3
2023-07-05,BK0810,工业4.0,1883.14,-1.07,-1529611712,-4.32,-736424384,-2.08,-793187328,-2.24,-216620544,-0.61,1744529664,4.92
2023-07-04,BK0810,工业4.0,1903.6,1.09,-1314777152,-3.62,-484876352,-1.34,-829900800,-2.29,132376320,0.36,1183452160,3.26
2023-07-03,BK0810,工业4.0,1883.13,-0.77,-1630555392,-3.72,-652432896,-1.49,-978122496,-2.23,115161088,0.26,1514421248,3.46
2023-06-30,BK0810,工业4.0,1897.83,0.94,18044416,0.04,136974848,0.34,-118930432,-0.29,-26183680,-0.06,2364928,0.01
2023-06-29,BK0810,工业4.0,1880.18,2.45,544711856,1.32,1051441840,2.55,-506729984,-1.23,-98657280,-0.24,-437117952,-1.06
2023-06-28,BK0810,工业4.0,1835.13,0.35000000000000003,-503741824,-1.31,505207936,1.31,-1008949760,-2.62,-227095296,-0.59,734545408,1.91
2023-06-27,BK0810,工业4.0,1828.77,1.35,-548181232,-1.67,-275825392,-0.84,-272355840,-0.8300000000000001,-173470464,-0.53,719445248,2.19
2023-06-26,BK0810,工业4.0,1804.35,-1.6,-2858561376,-7.2,-1432670816,-3.61,-1425890560,-3.59,559084544,1.41,2299589888,5.8
2023-06-21,BK0810,工业4.0,1833.76,-0.92,-2315926528,-5.53,-657818112,-1.57,-1658108416,-3.96,336905984,0.8,1979036160,4.72
2023-06-20,BK0810,工业4.0,1850.71,1.13,304020992,0.74,553016832,1.34,-248995840,-0.6000000000000001,-649459456,-1.58,348125696,0.84
2023-06-19,BK0810,工业4.0,1830.08,0.96,-1738754560,-4.32,-385114880,-0.96,-1353639680,-3.36,199348224,0.5,1538914048,3.83
2023-06-16,BK0810,工业4.0,1812.61,1.23,-769709600,-2.0,-148465184,-0.39,-621244416,-1.62,184014592,0.48,583818240,1.52
