日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-10,BK0936,长寿药,1013.15,-0.48,-246506151,-11.08,-76698327,-3.45,-169807824,-7.63,55163200,2.48,191342960,8.6
2023-08-09,BK0936,长寿药,1017.99,1.07,27278122,0.74,39750986,1.07,-12472864,-0.34,-29447856,-0.79,2169712,0.06
2023-08-08,BK0936,长寿药,1007.24,1.08,8327444,0.37,4834708,0.22,3492736,0.16,-5610560,-0.25,-2716896,-0.12
2023-08-07,BK0936,长寿药,996.52,-1.49,-287029349,-16.24,-98081041,-5.55,-188948308,-10.69,51818064,2.93,235211280,13.31
2023-08-04,BK0936,长寿药,1011.57,-0.86,-128835246,-7.06,-47993006,-2.63,-80842240,-4.43,2010384,0.11,126824880,6.95
2023-08-03,BK0936,长寿药,1020.33,1.27,52955486,2.86,13645438,0.74,39310048,2.13,41549872,2.25,-94505360,-5.11
2023-08-02,BK0936,长寿药,1007.52,-0.92,-169230042,-11.25,-63858987,-4.25,-105371055,-7.01,16511328,1.1,152718704,10.15
2023-08-01,BK0936,长寿药,1016.91,-0.56,-158697817,-7.85,-40501353,-2.0,-118196464,-5.84,-14930576,-0.74,173628384,8.58
2023-07-31,BK0936,长寿药,1022.62,0.64,-108065527,-4.59,-52623703,-2.24,-55441824,-2.36,-7338592,-0.31,115404112,4.9
2023-07-28,BK0936,长寿药,1016.13,0.51,-20591149,-1.06,-5073757,-0.26,-15517392,-0.8,-23663136,-1.22,44254272,2.29
2023-07-27,BK0936,长寿药,1010.93,0.22,-3165649,-0.19,-11140385,-0.67,7974736,0.48,-22529472,-1.35,25695104,1.54
2023-07-26,BK0936,长寿药,1008.72,0.09,-38966060,-3.07,2609133,0.21,-41575193,-3.28,3675680,0.29,35290384,2.78
2023-07-24,BK0936,长寿药,1000.37,-0.2,-27822924,-1.75,16853524,1.06,-44676448,-2.81,-28583296,-1.8,56406208,3.55
2023-07-21,BK0936,长寿药,1002.33,1.15,-24515457,-1.47,-29306993,-1.76,4791536,0.29,24951824,1.5,-436368,-0.03
2023-07-20,BK0936,长寿药,990.96,-0.42,-71797715,-5.84,-11277106,-0.92,-60520609,-4.92,-28793232,-2.34,100590944,8.18
2023-07-19,BK0936,长寿药,995.09,-0.53,-106612477,-9.5,-31482162,-2.8,-75130315,-6.69,-11594400,-1.03,118206880,10.53
2023-07-17,BK0936,长寿药,999.23,-0.17,-59447678,-4.5600000000000005,-20771058,-1.59,-38676620,-2.97,-4339984,-0.33,63787664,4.9
2023-07-14,BK0936,长寿药,1000.97,-0.30000000000000004,-96357311,-6.93,-27149777,-1.95,-69207534,-4.97,32518320,2.34,63838992,4.59
2023-07-13,BK0936,长寿药,1004.01,0.62,-24946729,-1.6800000000000002,22783623,1.53,-47730352,-3.21,6331376,0.43,18615344,1.25
2023-07-12,BK0936,长寿药,997.8,-0.79,-145740442,-8.0,-66791706,-3.66,-78948736,-4.33,27375440,1.5,118364992,6.49
2023-07-11,BK0936,长寿药,1005.72,0.15,-43969244,-3.68,-33306364,-2.79,-10662880,-0.89,-20604640,-1.73,64573872,5.41
2023-07-10,BK0936,长寿药,1004.2,0.18,-59872648,-5.46,-27832431,-2.54,-32040217,-2.92,21302912,1.94,38569728,3.52
2023-07-07,BK0936,长寿药,1002.43,-0.25,-90017800,-7.62,-58575638,-4.96,-31442162,-2.66,26115648,2.21,63902160,5.41
2023-07-06,BK0936,长寿药,1004.91,-0.8,-102418218,-6.5,-47844906,-3.04,-54573312,-3.46,3299680,0.21,99118560,6.29
2023-07-05,BK0936,长寿药,1012.99,0.41,-35052077,-1.66,-47485885,-2.24,12433808,0.59,12999184,0.61,22052896,1.04
2023-07-04,BK0936,长寿药,1008.88,-0.25,-80259688,-5.65,-47034408,-3.31,-33225280,-2.34,945744,0.07,79313952,5.58
2023-07-03,BK0936,长寿药,1011.4,0.5700000000000001,-101610870,-5.66,-73899078,-4.11,-27711792,-1.54,50992368,2.84,50618512,2.8200000000000003
2023-06-30,BK0936,长寿药,1005.69,1.6800000000000002,20529942,1.25,3764838,0.23,16765104,1.02,10753792,0.65,-31283744,-1.9
2023-06-29,BK0936,长寿药,989.03,0.44,-24681088,-1.7000000000000002,-3314848,-0.23,-21366240,-1.47,-15636720,-1.07,40317824,2.77
2023-06-28,BK0936,长寿药,984.68,-0.61,-124125444,-8.52,-32980026,-2.26,-91145418,-6.26,35194384,2.42,88931072,6.11
2023-06-27,BK0936,长寿药,990.71,2.21,1028300,0.07,2433836,0.17,-1405536,-0.1,-43001136,-3.04,41972816,2.96
2023-06-26,BK0936,长寿药,969.28,-1.85,-152483308,-9.95,-49093108,-3.2,-103390200,-6.75,17220720,1.12,135262592,8.82
2023-06-21,BK0936,长寿药,987.5,-1.1,-226517966,-11.21,-88903614,-4.4,-137614352,-6.8100000000000005,60703568,3.0,165814384,8.21
2023-06-20,BK0936,长寿药,998.52,-0.11,54403743,2.36,28763711,1.25,25640032,1.11,-4002112,-0.17,-50401648,-2.18
2023-06-19,BK0936,长寿药,999.59,-1.36,-140007472,-7.27,-78642128,-4.08,-61365344,-3.19,-1306224,-0.07,141313712,7.34
2023-06-16,BK0936,长寿药,1013.33,0.19,-56487209,-2.98,-30380953,-1.6,-26106256,-1.38,23066048,1.22,33421152,1.76
