日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-07,BK0936,长寿药,1002.43,-0.25,-90017800,-7.62,-58575638,-4.96,-31442162,-2.66,26115648,2.21,63902160,5.41
2023-07-06,BK0936,长寿药,1004.91,-0.8,-102418218,-6.5,-47844906,-3.04,-54573312,-3.46,3299680,0.21,99118560,6.29
2023-07-05,BK0936,长寿药,1012.99,0.41,-35052077,-1.66,-47485885,-2.24,12433808,0.59,12999184,0.61,22052896,1.04
2023-07-04,BK0936,长寿药,1008.88,-0.25,-80259688,-5.65,-47034408,-3.31,-33225280,-2.34,945744,0.07,79313952,5.58
2023-07-03,BK0936,长寿药,1011.4,0.5700000000000001,-101610870,-5.66,-73899078,-4.11,-27711792,-1.54,50992368,2.84,50618512,2.8200000000000003
2023-06-30,BK0936,长寿药,1005.69,1.6800000000000002,20529942,1.25,3764838,0.23,16765104,1.02,10753792,0.65,-31283744,-1.9
2023-06-29,BK0936,长寿药,989.03,0.44,-24681088,-1.7000000000000002,-3314848,-0.23,-21366240,-1.47,-15636720,-1.07,40317824,2.77
2023-06-28,BK0936,长寿药,984.68,-0.61,-124125444,-8.52,-32980026,-2.26,-91145418,-6.26,35194384,2.42,88931072,6.11
2023-06-27,BK0936,长寿药,990.71,2.21,1028300,0.07,2433836,0.17,-1405536,-0.1,-43001136,-3.04,41972816,2.96
2023-06-26,BK0936,长寿药,969.28,-1.85,-152483308,-9.95,-49093108,-3.2,-103390200,-6.75,17220720,1.12,135262592,8.82
2023-06-21,BK0936,长寿药,987.5,-1.1,-226517966,-11.21,-88903614,-4.4,-137614352,-6.8100000000000005,60703568,3.0,165814384,8.21
2023-06-20,BK0936,长寿药,998.52,-0.11,54403743,2.36,28763711,1.25,25640032,1.11,-4002112,-0.17,-50401648,-2.18
2023-06-19,BK0936,长寿药,999.59,-1.36,-140007472,-7.27,-78642128,-4.08,-61365344,-3.19,-1306224,-0.07,141313712,7.34
2023-06-16,BK0936,长寿药,1013.33,0.19,-56487209,-2.98,-30380953,-1.6,-26106256,-1.38,23066048,1.22,33421152,1.76
