日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-14,BK0628,智慧城市,4107.7,1.85,3403201792,5.27,3022678016,4.68,380523776,0.59,-1718337792,-2.66,-1682170880,-2.6
2023-07-13,BK0628,智慧城市,4033.22,1.15,-243662592,-0.48,628944384,1.23,-872606976,-1.71,-743333888,-1.46,986158848,1.93
2023-07-12,BK0628,智慧城市,3987.37,-2.41,-5462449664,-8.84,-3549903104,-5.75,-1912546560,-3.1,616657664,1.0,4841651200,7.84
2023-07-11,BK0628,智慧城市,4085.84,0.58,388729600,0.76,988533504,1.94,-599803904,-1.18,-526105856,-1.03,134615040,0.26
2023-07-10,BK0628,智慧城市,4062.23,-0.05,-2179353904,-5.03,-1548742704,-3.5700000000000003,-630611200,-1.45,531097344,1.22,1648400384,3.8
2023-07-07,BK0628,智慧城市,4064.35,-1.15,-1701473792,-3.06,-830066176,-1.49,-871407616,-1.57,-279433984,-0.5,1979545856,3.56
2023-07-06,BK0628,智慧城市,4111.48,0.21,-51348224,-0.09,427148032,0.77,-478496256,-0.87,-492671232,-0.89,541426688,0.98
2023-07-05,BK0628,智慧城市,4102.9,-0.95,-3592469504,-6.97,-2176534528,-4.22,-1415934976,-2.75,1124257792,2.18,2468870400,4.79
2023-07-04,BK0628,智慧城市,4142.36,1.13,-233980416,-0.46,438492928,0.87,-672473344,-1.33,-60274176,-0.12,292413952,0.58
2023-07-03,BK0628,智慧城市,4095.94,0.01,-3106224896,-5.07,-2426737664,-3.96,-679487232,-1.11,821434112,1.34,2284308480,3.73
2023-06-30,BK0628,智慧城市,4095.48,0.94,-354480640,-0.61,161985280,0.28,-516465920,-0.89,-603851264,-1.04,959717376,1.65
2023-06-29,BK0628,智慧城市,4057.21,1.52,-1231024384,-2.03,34170624,0.06,-1265195008,-2.09,-28537088,-0.05,1258732288,2.08
2023-06-28,BK0628,智慧城市,3996.45,-2.01,-4155912704,-6.84,-2621731328,-4.32,-1534181376,-2.53,1070166016,1.76,3077174272,5.07
2023-06-27,BK0628,智慧城市,4078.58,1.96,-959683072,-1.72,-315477760,-0.5700000000000001,-644205312,-1.16,32380160,0.06,928066304,1.67
2023-06-26,BK0628,智慧城市,4000.3,-4.05,-5860264448,-7.81,-3394768640,-4.53,-2465495808,-3.29,529616896,0.71,5327527168,7.1
2023-06-21,BK0628,智慧城市,4169.35,-2.86,-6719448832,-7.96,-4564453376,-5.41,-2154995456,-2.55,844024320,1.0,5873068032,6.96
2023-06-20,BK0628,智慧城市,4292.3,-0.56,-1378178304,-1.37,393548544,0.39,-1771726848,-1.76,-634810112,-0.63,2011540224,2.0
2023-06-19,BK0628,智慧城市,4316.46,1.59,-41293568,-0.04,1273047296,1.31,-1314340864,-1.35,-365628160,-0.38,405766912,0.42
2023-06-16,BK0628,智慧城市,4248.72,1.66,2717217024,3.32,3323421696,4.06,-606204672,-0.74,-1190427136,-1.45,-1526115840,-1.86
