日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-06,BK1009,元宇宙概念,1700.25,0.43,50520576,0.08,466817536,0.75,-416296960,-0.67,-326463744,-0.52,275385344,0.44
2023-07-05,BK1009,元宇宙概念,1692.95,-1.14,-3079873536,-5.4,-1547841280,-2.71,-1532032256,-2.68,831206400,1.46,2247879936,3.94
2023-07-04,BK1009,元宇宙概念,1712.43,0.86,371954432,0.56,694822400,1.05,-322867968,-0.49,-256195840,-0.39,-115059456,-0.17
2023-07-03,BK1009,元宇宙概念,1697.9,-1.23,-3275301632,-4.27,-2506256128,-3.27,-769045504,-1.0,769486080,1.0,2506307584,3.27
2023-06-30,BK1009,元宇宙概念,1719.08,0.47,-1787332352,-2.74,-968464384,-1.49,-818867968,-1.26,-235938048,-0.36,2023314176,3.1
2023-06-29,BK1009,元宇宙概念,1711.1,1.35,-1783145728,-2.5700000000000003,-1039446784,-1.5,-743698944,-1.07,1075466752,1.55,708110848,1.02
2023-06-28,BK1009,元宇宙概念,1688.32,-2.19,-4422223104,-6.02,-1820532480,-2.48,-2601690624,-3.54,800532224,1.09,3620996352,4.93
2023-06-27,BK1009,元宇宙概念,1726.14,1.51,-2198918656,-3.54,-1173414912,-1.89,-1025503744,-1.65,4805120,0.01,2194166272,3.53
2023-06-26,BK1009,元宇宙概念,1700.42,-4.78,-6730508544,-7.26,-2985120768,-3.22,-3745387776,-4.04,-157619968,-0.17,6887305728,7.43
2023-06-21,BK1009,元宇宙概念,1785.83,-4.5600000000000005,-11998478336,-11.07,-8218936320,-7.59,-3779542016,-3.49,1810205440,1.67,10189330944,9.4
2023-06-20,BK1009,元宇宙概念,1871.09,-0.04,-2597763840,-2.19,-1509525248,-1.27,-1088238592,-0.92,10998784,0.01,2583553280,2.17
2023-06-19,BK1009,元宇宙概念,1871.75,1.09,-1187469312,-1.05,457892608,0.4,-1645361920,-1.45,239886848,0.21,947139840,0.8300000000000001
2023-06-16,BK1009,元宇宙概念,1851.57,1.62,3077707264,2.98,3368354560,3.26,-290647296,-0.28,-1969835008,-1.91,-1109558528,-1.07
