日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-28,BK0979,低碳冶金,1203.31,1.51,-66395856,-2.35,125332864,4.44,-191728720,-6.78,-41684544,-1.48,108080368,3.82
2023-07-27,BK0979,低碳冶金,1185.46,0.74,23377152,0.67,53819776,1.54,-30442624,-0.87,-9809632,-0.28,-13567536,-0.39
2023-07-26,BK0979,低碳冶金,1176.73,1.46,18206954,0.88,34535546,1.67,-16328592,-0.79,-11636944,-0.56,-6570032,-0.32
2023-07-24,BK0979,低碳冶金,1127.39,-0.24,17370080,1.99,34764228,3.99,-17394148,-2.0,-5278980,-0.61,-12091088,-1.39
2023-07-21,BK0979,低碳冶金,1130.15,0.9,-60305358,-5.83,-36120344,-3.49,-24185014,-2.34,17057136,1.65,43248224,4.18
2023-07-20,BK0979,低碳冶金,1120.09,-0.56,-121631181,-10.59,-28839817,-2.51,-92791364,-8.08,24099904,2.1,97531280,8.49
2023-07-19,BK0979,低碳冶金,1126.42,0.08,-81215892,-7.73,-72085743,-6.86,-9130149,-0.87,1401040,0.13,79814853,7.6
2023-07-17,BK0979,低碳冶金,1134.49,-0.21,-27110846,-2.2,-19966414,-1.62,-7144432,-0.58,-45258032,-3.68,72368864,5.88
2023-07-14,BK0979,低碳冶金,1136.85,0.12,15373926,1.47,30606747,2.93,-15232821,-1.46,-13448784,-1.29,-1925152,-0.18
2023-07-13,BK0979,低碳冶金,1135.48,1.02,24789108,2.35,37929883,3.59,-13140775,-1.25,-53579456,-5.08,28790352,2.73
2023-07-12,BK0979,低碳冶金,1124.06,-1.37,-118900029,-9.55,-67485507,-5.42,-51414522,-4.13,86623248,6.96,32276784,2.59
2023-07-11,BK0979,低碳冶金,1139.73,-0.27,-165653490,-14.42,-72442939,-6.31,-93210551,-8.11,39661536,3.45,125991952,10.97
2023-07-10,BK0979,低碳冶金,1142.8,0.1,1682115,0.16,-29575491,-2.88,31257606,3.04,8228352,0.8,-9910464,-0.96
2023-07-07,BK0979,低碳冶金,1141.61,0.76,41901951,3.36,25453359,2.04,16448592,1.32,-27797632,-2.23,-14104304,-1.13
2023-07-06,BK0979,低碳冶金,1132.98,-1.04,-125605986,-11.19,-93250957,-8.31,-32355029,-2.88,52026096,4.63,73579888,6.55
2023-07-05,BK0979,低碳冶金,1144.86,0.8200000000000001,18780106,1.21,47050,0.0,18733056,1.21,-19546416,-1.26,766304,0.05
2023-07-04,BK0979,低碳冶金,1135.54,-0.7000000000000001,-91445250,-6.02,-83684978,-5.51,-7760272,-0.51,3554784,0.23,87890464,5.78
2023-07-03,BK0979,低碳冶金,1143.52,2.25,102423470,5.57,145662446,7.93,-43238976,-2.35,-44564592,-2.43,-57858880,-3.15
2023-06-30,BK0979,低碳冶金,1118.37,0.65,5713884,0.49,-10729044,-0.92,16442928,1.4,-43453040,-3.71,37739152,3.22
2023-06-29,BK0979,低碳冶金,1111.19,-0.33,-8722562,-0.79,-11347225,-1.02,2624663,0.24,15751360,1.42,-7028784,-0.63
2023-06-28,BK0979,低碳冶金,1114.83,-0.18,-52378130,-4.44,-38726498,-3.28,-13651632,-1.16,23994496,2.03,28383632,2.41
2023-06-27,BK0979,低碳冶金,1116.8,2.79,120522846,7.05,75792254,4.43,44730592,2.62,-76150976,-4.45,-44371888,-2.6
2023-06-26,BK0979,低碳冶金,1086.52,-1.39,-85908024,-6.13,-109982440,-7.84,24074416,1.72,-4900592,-0.35000000000000003,90808608,6.48
2023-06-21,BK0979,低碳冶金,1101.83,-0.59,36407739,3.0,34822875,2.87,1584864,0.13,-62375072,-5.15,25967312,2.14
2023-06-20,BK0979,低碳冶金,1108.35,-0.86,-157843519,-9.21,-134048175,-7.82,-23795344,-1.39,-4315440,-0.25,162158960,9.46
2023-06-19,BK0979,低碳冶金,1117.95,-1.34,-75538294,-4.8100000000000005,-68587990,-4.37,-6950304,-0.44,41551920,2.65,33986384,2.16
2023-06-16,BK0979,低碳冶金,1133.14,1.46,91431058,4.91,9494610,0.51,81936448,4.4,-42383584,-2.27,-49047456,-2.63
