日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK0710,量子通信,1826.06,1.63,224036304,1.63,257949568,1.88,-33913264,-0.25,-214945024,-1.57,-9091408,-0.07
2023-09-04,BK0710,量子通信,1805.57,1.55,-473453760,-3.39,-896760192,-6.41,423306432,3.03,258339216,1.85,215114624,1.54
2023-08-31,BK0710,量子通信,1794.26,-0.34,-490107440,-3.15,-278632032,-1.79,-211475408,-1.36,218654976,1.4,271452160,1.74
2023-08-29,BK0710,量子通信,1763.77,3.39,285165728,1.63,28136896,0.16,257028832,1.47,-212113664,-1.21,-73051904,-0.42
2023-08-28,BK0710,量子通信,1706.01,0.59,-986839984,-5.68,-804388144,-4.63,-182451840,-1.05,116843776,0.67,869996032,5.0
2023-08-25,BK0710,量子通信,1696.07,-3.07,-1635834064,-10.81,-884002000,-5.84,-751832064,-4.97,-148740096,-0.98,1784574064,11.8
2023-08-24,BK0710,量子通信,1749.75,-0.38,-1125827600,-8.19,-1016648656,-7.39,-109178944,-0.79,204399136,1.49,921428464,6.7
2023-08-23,BK0710,量子通信,1756.37,-1.96,-1250014560,-8.98,-989768464,-7.11,-260246096,-1.87,215929856,1.55,1034084640,7.42
2023-08-21,BK0710,量子通信,1763.7,-0.13,-501338688,-4.08,-650434048,-5.3,149095360,1.21,36462704,0.30000000000000004,464876016,3.78
2023-08-18,BK0710,量子通信,1765.94,-2.39,-1515768864,-12.51,-862208208,-7.12,-653560656,-5.4,116349648,0.96,1399419104,11.55
2023-08-16,BK0710,量子通信,1784.6,-1.69,-1850895888,-11.33,-1560717200,-9.55,-290178688,-1.78,413204992,2.53,1437690704,8.8
2023-08-15,BK0710,量子通信,1815.29,-0.8200000000000001,-289673328,-1.97,-129321520,-0.88,-160351808,-1.09,67896832,0.46,221776528,1.5
2023-08-14,BK0710,量子通信,1830.24,1.19,528623360,3.74,105751232,0.75,422872128,2.99,-373905328,-2.65,-154718096,-1.1
2023-08-11,BK0710,量子通信,1808.75,-1.89,-844423456,-5.98,-374896384,-2.65,-469527072,-3.32,-110930432,-0.78,955353792,6.76
2023-08-10,BK0710,量子通信,1843.57,-0.33,-911845216,-6.72,-379537264,-2.8,-532307952,-3.92,12956672,0.1,898888448,6.63
2023-08-09,BK0710,量子通信,1849.76,-1.53,-2074384448,-10.73,-1380462912,-7.14,-693921536,-3.59,100363008,0.52,1974021632,10.21
2023-08-08,BK0710,量子通信,1878.46,-0.84,-616915856,-3.44,-327320192,-1.82,-289595664,-1.61,12925696,0.07,603990016,3.36
2023-08-07,BK0710,量子通信,1894.42,0.68,-1019938080,-4.45,-625273888,-2.73,-394664192,-1.72,192564992,0.84,827373056,3.61
2023-08-04,BK0710,量子通信,1881.55,1.73,1582361312,6.6,1644993760,6.86,-62632448,-0.26,-676578816,-2.8200000000000003,-905782272,-3.78
2023-08-03,BK0710,量子通信,1849.63,-0.8300000000000001,-868031632,-5.6,-374838256,-2.42,-493193376,-3.18,90126336,0.58,777905216,5.02
2023-08-02,BK0710,量子通信,1865.16,0.51,-606283200,-3.29,-299668256,-1.63,-306614944,-1.66,111322112,0.6000000000000001,494961152,2.69
2023-08-01,BK0710,量子通信,1855.76,0.71,-261977904,-1.26,-51852080,-0.25,-210125824,-1.01,121102336,0.58,140875520,0.68
2023-07-31,BK0710,量子通信,1842.69,0.55,-608092160,-3.85,-284778576,-1.81,-323313584,-2.05,48605440,0.31,559486864,3.55
2023-07-28,BK0710,量子通信,1832.57,0.8,-142080496,-0.93,109130080,0.71,-251210576,-1.64,-188095744,-1.23,330176000,2.15
2023-07-27,BK0710,量子通信,1818.09,-0.73,-999629280,-8.24,-516783664,-4.26,-482845616,-3.98,94400720,0.78,905228560,7.46
2023-07-26,BK0710,量子通信,1831.48,-1.55,-1098061840,-6.9,-678063184,-4.26,-419998656,-2.64,327266048,2.06,770796032,4.84
2023-07-24,BK0710,量子通信,1831.54,0.34,-600367552,-3.93,-380225392,-2.49,-220142160,-1.44,184706560,1.21,415660800,2.72
2023-07-21,BK0710,量子通信,1825.33,-0.62,-839707408,-5.54,-499578768,-3.3,-340128640,-2.24,-122233600,-0.81,961940944,6.35
2023-07-20,BK0710,量子通信,1836.78,-2.4,-3396246384,-15.47,-2717237360,-12.37,-679009024,-3.09,581476608,2.65,2814769664,12.82
2023-07-19,BK0710,量子通信,1882.04,-0.5,-1198859328,-6.19,-639879488,-3.3,-558979840,-2.89,65010176,0.34,1133849088,5.85
2023-07-17,BK0710,量子通信,1911.68,0.89,-266130176,-0.91,-300181248,-1.02,34051072,0.12,-37973760,-0.13,304103936,1.04
2023-07-14,BK0710,量子通信,1894.89,1.54,3050523136,9.35,3012580608,9.24,37942528,0.12,-1548604416,-4.75,-1501918976,-4.61
2023-07-13,BK0710,量子通信,1866.15,0.86,-564592640,-2.13,-157723904,-0.6000000000000001,-406868736,-1.54,-168098048,-0.64,732690688,2.77
2023-07-12,BK0710,量子通信,1850.31,-2.62,-2533686336,-8.69,-1418224960,-4.86,-1115461376,-3.83,511953920,1.76,2021732352,6.93
2023-07-11,BK0710,量子通信,1900.18,1.36,972703888,3.68,1002921104,3.79,-30217216,-0.11,-453619712,-1.72,-519084288,-1.96
2023-07-10,BK0710,量子通信,1874.76,-0.84,-1833805200,-9.37,-1460881040,-7.46,-372924160,-1.9,518686976,2.65,1315118336,6.72
2023-07-07,BK0710,量子通信,1890.68,-1.63,-1261633424,-4.6,-668518288,-2.44,-593115136,-2.16,85023232,0.31,1176610048,4.29
2023-07-06,BK0710,量子通信,1922.07,0.75,549475840,1.77,993556224,3.21,-444080384,-1.43,-473644032,-1.53,-75832320,-0.24
2023-07-05,BK0710,量子通信,1907.84,-0.87,-1023151376,-3.81,-355263248,-1.32,-667888128,-2.48,90853120,0.34,932298240,3.47
2023-07-04,BK0710,量子通信,1924.66,0.6000000000000001,-799185600,-3.09,-588484288,-2.27,-210701312,-0.81,174731008,0.67,624454400,2.41
2023-07-03,BK0710,量子通信,1913.15,0.49,-568097280,-1.79,-562560000,-1.77,-5537280,-0.02,-109092608,-0.34,677189888,2.13
2023-06-30,BK0710,量子通信,1903.75,2.02,-22786304,-0.07,49730304,0.15,-72516608,-0.22,-183510784,-0.5700000000000001,206296832,0.64
2023-06-29,BK0710,量子通信,1866.13,1.16,-820625424,-3.47,-295654416,-1.25,-524971008,-2.22,39199488,0.17,781426176,3.3
2023-06-28,BK0710,量子通信,1844.67,-1.11,-1291904992,-4.84,-472602592,-1.77,-819302400,-3.07,181801216,0.68,1110103808,4.16
2023-06-27,BK0710,量子通信,1865.37,1.07,-558683040,-2.48,-146066336,-0.65,-412616704,-1.83,4776192,0.02,553906944,2.45
