日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-10,BK0612,上证180_,1392.68,0.6000000000000001,1328271104,1.25,1485074944,1.4,-156803840,-0.15,-896796672,-0.85,-431474688,-0.41
2023-07-07,BK0612,上证180_,1384.34,-0.27,-1689438464,-1.75,-1223320064,-1.27,-466118400,-0.48,104373760,0.11,1585064448,1.64
2023-07-06,BK0612,上证180_,1388.07,-0.58,-3578430976,-3.72,-2675640320,-2.78,-902790656,-0.94,239016960,0.25,3339414016,3.47
2023-07-05,BK0612,上证180_,1396.21,-0.7000000000000001,-4899930880,-4.77,-3213075456,-3.13,-1686855424,-1.64,1402321408,1.37,3497609472,3.41
2023-07-04,BK0612,上证180_,1406.04,-0.03,-3421807616,-2.88,-1881073664,-1.59,-1540733952,-1.3,498525952,0.42,2923281152,2.46
2023-07-03,BK0612,上证180_,1406.41,1.53,3407878656,2.48,1799652864,1.31,1608225792,1.17,-1230618880,-0.9,-2177259776,-1.59
2023-06-30,BK0612,上证180_,1385.22,0.78,250223360,0.23,575526912,0.54,-325303552,-0.31,-1290676992,-1.21,1040453632,0.98
2023-06-29,BK0612,上证180_,1374.56,-0.43,-3819858944,-3.68,-2655481088,-2.56,-1164377856,-1.12,849314048,0.8200000000000001,2970545152,2.86
2023-06-28,BK0612,上证180_,1380.48,0.08,-1433962240,-1.28,-1277472768,-1.14,-156489472,-0.14,89466624,0.08,1344495360,1.2
2023-06-27,BK0612,上证180_,1379.4,1.14,1389159168,1.21,1724317696,1.5,-335158528,-0.29,-665867520,-0.58,-723291648,-0.63
2023-06-26,BK0612,上证180_,1363.82,-1.18,-7079523328,-5.4,-5290465792,-4.04,-1789057536,-1.37,757606656,0.58,6321916672,4.83
2023-06-21,BK0612,上证180_,1380.15,-1.55,-9794577920,-7.52,-6994153472,-5.37,-2800424448,-2.15,1362476800,1.05,8432100864,6.47
2023-06-20,BK0612,上证180_,1401.82,-0.4,-4441407744,-3.11,-2338074624,-1.64,-2103333120,-1.47,547173632,0.38,3894234112,2.72
2023-06-19,BK0612,上证180_,1407.42,-0.47,-8106021888,-5.46,-4884124416,-3.29,-3221897472,-2.17,2948224768,1.99,5157797120,3.47
2023-06-16,BK0612,上证180_,1414.03,0.77,1344525824,0.85,1300058624,0.8200000000000001,44467200,0.03,-1653997312,-1.05,309471488,0.2
