日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-04,BK0722,虚拟现实,840.63,1.29,855592704,1.73,689052160,1.39,166540544,0.34,-355294976,-0.72,-500298240,-1.01
2023-08-03,BK0722,虚拟现实,829.89,-0.6000000000000001,-1874965664,-5.11,-861938848,-2.35,-1013026816,-2.76,405048320,1.1,1469917440,4.0
2023-08-02,BK0722,虚拟现实,834.9,0.09,-1056765552,-2.87,-488199024,-1.33,-568566528,-1.55,-153472768,-0.42,1210238208,3.29
2023-08-01,BK0722,虚拟现实,834.13,-0.14,-950047760,-2.18,-281255952,-0.64,-668791808,-1.53,-214372608,-0.49,1164589568,2.67
2023-07-31,BK0722,虚拟现实,835.32,1.1,952542464,1.78,634798848,1.19,317743616,0.59,-473534720,-0.89,-476199680,-0.89
2023-07-28,BK0722,虚拟现实,826.22,-0.07,-1596522400,-3.68,-540934816,-1.25,-1055587584,-2.43,-734870528,-1.69,2332501504,5.38
2023-07-27,BK0722,虚拟现实,826.8,-1.27,-2961088624,-6.54,-1584663408,-3.5,-1376425216,-3.04,114283776,0.25,2846142464,6.29
2023-07-26,BK0722,虚拟现实,837.47,-1.91,-4819108160,-9.74,-2553121600,-5.16,-2265986560,-4.58,819525888,1.66,4000968704,8.08
2023-07-24,BK0722,虚拟现实,839.35,0.25,-1013150432,-2.56,-255513824,-0.65,-757636608,-1.91,-238771456,-0.6000000000000001,1251867136,3.16
2023-07-21,BK0722,虚拟现实,837.28,-0.34,-2313302944,-5.22,-846634400,-1.91,-1466668544,-3.31,-9030144,-0.02,2322359040,5.24
2023-07-20,BK0722,虚拟现实,840.15,-2.17,-5178636160,-9.63,-2794641792,-5.2,-2383994368,-4.43,249370624,0.46,4930081792,9.17
2023-07-19,BK0722,虚拟现实,858.82,0.13,-259072464,-0.5700000000000001,322962224,0.7000000000000001,-582034688,-1.27,-506906624,-1.11,765795328,1.67
2023-07-17,BK0722,虚拟现实,863.11,-0.64,-2868925696,-5.32,-1562747136,-2.9,-1306178560,-2.42,732459264,1.36,2136447744,3.96
2023-07-14,BK0722,虚拟现实,868.66,0.97,390830336,0.61,168551424,0.26,222278912,0.35000000000000003,-576373248,-0.89,186150912,0.29
2023-07-13,BK0722,虚拟现实,860.31,1.75,578665728,0.96,901901312,1.5,-323235584,-0.54,-771892736,-1.28,192161792,0.32
2023-07-12,BK0722,虚拟现实,845.54,-2.2,-4739718144,-7.67,-2652521984,-4.29,-2087196160,-3.38,522710528,0.85,4217448192,6.83
2023-07-11,BK0722,虚拟现实,864.59,0.85,-296498864,-0.6000000000000001,195130192,0.39,-491629056,-0.99,261846528,0.53,34457856,0.07
2023-07-10,BK0722,虚拟现实,857.33,0.11,-329235984,-0.68,-18422800,-0.04,-310813184,-0.65,345228800,0.72,-16324864,-0.03
2023-07-07,BK0722,虚拟现实,856.43,-1.36,-2210351872,-4.06,-889433344,-1.63,-1320918528,-2.43,-195189504,-0.36,2405222912,4.42
2023-07-06,BK0722,虚拟现实,868.28,0.22,-346394112,-0.6000000000000001,234515456,0.4,-580909568,-1.0,-471769088,-0.81,817605632,1.41
2023-07-05,BK0722,虚拟现实,866.37,-1.24,-2780468992,-5.02,-1440731904,-2.6,-1339737088,-2.42,332301568,0.6000000000000001,2447380224,4.42
2023-07-04,BK0722,虚拟现实,877.23,1.11,893946880,1.34,882535168,1.32,11411712,0.02,-507413760,-0.76,-385833984,-0.58
2023-07-03,BK0722,虚拟现实,867.6,-0.71,-2334918912,-2.97,-1767865600,-2.25,-567053312,-0.72,115602944,0.15,2219807744,2.8200000000000003
2023-06-30,BK0722,虚拟现实,873.77,1.02,311278080,0.46,749791232,1.1,-438513152,-0.64,-1095222016,-1.61,783987456,1.15
2023-06-29,BK0722,虚拟现实,864.93,1.65,899582208,1.36,558159872,0.84,341422336,0.52,-124759296,-0.19,-774390784,-1.17
2023-06-28,BK0722,虚拟现实,850.85,-1.56,-2937968896,-3.86,-1142204928,-1.5,-1795763968,-2.36,50627072,0.07,2886646528,3.8
2023-06-27,BK0722,虚拟现实,864.36,1.7000000000000002,-105515776,-0.17,61833216,0.1,-167348992,-0.28,-752984576,-1.25,858552832,1.42
2023-06-26,BK0722,虚拟现实,849.95,-3.9,-6267811584,-7.62,-2736996608,-3.33,-3530814976,-4.29,158637312,0.19,6108351488,7.42
2023-06-21,BK0722,虚拟现实,884.41,-3.37,-9383330816,-9.9,-6102101504,-6.44,-3281229312,-3.46,902822912,0.95,8481566208,8.95
2023-06-20,BK0722,虚拟现实,915.21,0.13,-578466560,-0.55,266378496,0.25,-844845056,-0.8,-699417600,-0.66,1274672384,1.2
2023-06-19,BK0722,虚拟现实,914.06,1.45,-455647488,-0.44,698729472,0.68,-1154376960,-1.13,-202010368,-0.2,657215232,0.64
2023-06-16,BK0722,虚拟现实,900.99,1.38,2198428160,2.53,1908826624,2.19,289601536,0.33,-1408796416,-1.62,-791317504,-0.91
