日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-14,BK1075,电子身份证,1123.73,2.11,294187024,3.59,238140368,2.91,56046656,0.68,-97293024,-1.19,-196894016,-2.4
2023-08-11,BK1075,电子身份证,1100.56,-2.25,-391339200,-5.89,-151249552,-2.28,-240089648,-3.62,-93021616,-1.4,484360816,7.3
2023-08-10,BK1075,电子身份证,1125.94,-0.08,-435832208,-5.86,-159838032,-2.15,-275994176,-3.71,-39724512,-0.53,475556736,6.4
2023-08-09,BK1075,电子身份证,1126.89,-0.4,-103773312,-1.16,-4642256,-0.05,-99131056,-1.11,-7580064,-0.08,111353392,1.25
2023-08-08,BK1075,电子身份证,1131.46,-1.33,-629877968,-7.63,-252853776,-3.06,-377024192,-4.57,-76934384,-0.93,706812336,8.57
2023-08-07,BK1075,电子身份证,1146.67,0.73,-206314880,-2.08,-18302352,-0.18,-188012528,-1.9,-88519344,-0.89,294834224,2.97
2023-08-04,BK1075,电子身份证,1138.4,3.25,470581424,4.05,309639520,2.67,160941904,1.39,91600816,0.79,-562182224,-4.84
2023-08-03,BK1075,电子身份证,1102.52,-0.52,-325324459,-7.1,-124804347,-2.72,-200520112,-4.38,113549504,2.48,211774960,4.62
2023-08-02,BK1075,电子身份证,1108.33,0.6000000000000001,-187490960,-3.23,-86564688,-1.49,-100926272,-1.74,-16969184,-0.29,204460128,3.53
2023-08-01,BK1075,电子身份证,1101.72,-0.37,-46481776,-0.67,105451456,1.51,-151933232,-2.18,-76518720,-1.1,123000496,1.76
2023-07-31,BK1075,电子身份证,1105.82,0.72,-384468768,-5.68,-93705856,-1.38,-290762912,-4.3,183920416,2.72,200548352,2.96
2023-07-28,BK1075,电子身份证,1097.89,0.93,50099360,0.75,182129248,2.74,-132029888,-1.98,-66459520,-1.0,16360176,0.25
2023-07-27,BK1075,电子身份证,1087.81,-1.51,-468787750,-9.92,-166077750,-3.52,-302710000,-6.41,5158032,0.11,463629712,9.81
2023-07-26,BK1075,电子身份证,1104.45,-2.13,-470895280,-7.65,-139739088,-2.27,-331156192,-5.38,157880192,2.5700000000000003,313015104,5.09
2023-07-24,BK1075,电子身份证,1112.01,0.5700000000000001,73502912,1.21,141997408,2.34,-68494496,-1.13,-25313760,-0.42,-48189152,-0.79
2023-07-21,BK1075,电子身份证,1105.7,-0.76,-217722368,-4.41,-2544032,-0.05,-215178336,-4.36,-42037824,-0.85,259760208,5.26
2023-07-20,BK1075,电子身份证,1114.22,-1.98,-530155504,-8.22,-156627056,-2.43,-373528448,-5.79,-75034944,-1.16,605190448,9.38
2023-07-19,BK1075,电子身份证,1136.69,0.19,4814288,0.08,2965920,0.05,1848368,0.03,-44877856,-0.74,40063568,0.66
2023-07-17,BK1075,电子身份证,1152.64,0.31,-430888448,-4.26,-187712928,-1.86,-243175520,-2.41,66969984,0.66,363918448,3.6
2023-07-14,BK1075,电子身份证,1149.04,2.66,701251232,6.54,437383152,4.08,263868080,2.46,31346240,0.29,-732597488,-6.83
2023-07-13,BK1075,电子身份证,1119.29,1.76,-76686944,-1.11,-35284192,-0.51,-41402752,-0.6000000000000001,38078768,0.55,38608176,0.56
2023-07-12,BK1075,电子身份证,1099.9,-2.76,-784877712,-10.23,-256406304,-3.34,-528471408,-6.89,-66592912,-0.87,851470624,11.09
2023-07-11,BK1075,电子身份证,1131.13,0.24,-261698848,-4.2,-175201936,-2.81,-86496912,-1.39,-54648656,-0.88,316347504,5.07
2023-07-10,BK1075,电子身份证,1128.38,-0.73,-360838880,-5.15,-182586080,-2.61,-178252800,-2.54,-33897168,-0.48,394736064,5.64
2023-07-07,BK1075,电子身份证,1136.69,-1.87,-697260912,-8.71,-275134400,-3.44,-422126512,-5.27,89609552,1.12,607651360,7.59
2023-07-06,BK1075,电子身份证,1158.32,0.34,-175405648,-2.77,-148524240,-2.34,-26881408,-0.42,75015888,1.18,100389744,1.58
2023-07-05,BK1075,电子身份证,1154.36,-1.38,-617826752,-8.4,-312582384,-4.25,-305244368,-4.15,23298336,0.32,594528400,8.08
2023-07-04,BK1075,电子身份证,1170.46,1.03,130493408,1.42,95639056,1.04,34854352,0.38,-214760272,-2.34,84266896,0.92
2023-07-03,BK1075,电子身份证,1158.49,0.6900000000000001,375930800,4.2,569434960,6.37,-193504160,-2.16,-124083088,-1.39,-251847728,-2.8200000000000003
2023-06-30,BK1075,电子身份证,1150.5,0.5,-400635616,-5.66,-184627616,-2.61,-216008000,-3.05,25631888,0.36,375003696,5.3
2023-06-29,BK1075,电子身份证,1144.82,1.23,-195674992,-2.89,-119666672,-1.77,-76008320,-1.12,41818064,0.62,153856944,2.27
2023-06-28,BK1075,电子身份证,1130.95,-2.62,-735758976,-8.71,-323013680,-3.82,-412745296,-4.89,71525904,0.85,664233088,7.86
2023-06-27,BK1075,电子身份证,1161.38,0.8200000000000001,-401271312,-5.21,-180693584,-2.34,-220577728,-2.86,-49840880,-0.65,451112176,5.85
2023-06-26,BK1075,电子身份证,1151.97,-5.63,-1359917408,-11.71,-656733456,-5.66,-703183952,-6.06,151729696,1.31,1208187728,10.41
2023-06-21,BK1075,电子身份证,1220.69,-3.91,-1521325424,-11.29,-927651568,-6.88,-593673856,-4.41,69798400,0.52,1451527168,10.77
2023-06-20,BK1075,电子身份证,1270.32,0.5,-57907952,-0.38,118695344,0.79,-176603296,-1.17,-213494272,-1.42,271402192,1.8
2023-06-19,BK1075,电子身份证,1263.98,1.75,-136769648,-0.94,-104265552,-0.71,-32504096,-0.22,-64008192,-0.44,200777920,1.37
2023-06-16,BK1075,电子身份证,1242.29,2.15,439024752,3.29,281971600,2.12,157053152,1.18,-83975424,-0.63,-355049456,-2.66
