日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-12,BK1110,Web3.0,1342.63,-3.29,-2312264896,-13.69,-1187892208,-7.04,-1124372688,-6.66,110043136,0.65,2202221792,13.04
2023-07-11,BK1110,Web3.0,1388.35,0.11,-387158048,-2.63,-74129792,-0.5,-313028256,-2.13,-197020672,-1.34,584178464,3.97
2023-07-10,BK1110,Web3.0,1386.87,-1.0,-1165823136,-8.53,-665404352,-4.87,-500418784,-3.66,-93585152,-0.6900000000000001,1259408176,9.22
2023-07-07,BK1110,Web3.0,1400.92,-1.59,-1007642560,-5.69,-532853904,-3.01,-474788656,-2.68,-92736512,-0.52,1100379136,6.21
2023-07-06,BK1110,Web3.0,1423.62,0.23,-181880688,-1.05,91149200,0.53,-273029888,-1.58,-84146432,-0.49,266027008,1.54
2023-07-05,BK1110,Web3.0,1420.3,-1.67,-987056480,-5.6,-341880672,-1.94,-645175808,-3.66,191393024,1.09,795663360,4.51
2023-07-04,BK1110,Web3.0,1444.49,0.56,-371700672,-1.99,-212619200,-1.14,-159081472,-0.85,84794624,0.45,286905856,1.54
2023-07-03,BK1110,Web3.0,1436.38,-0.66,-1084109280,-5.15,-442172640,-2.1,-641936640,-3.05,255176960,1.21,828932352,3.94
2023-06-30,BK1110,Web3.0,1445.89,0.73,-473487088,-2.21,-302536176,-1.41,-170950912,-0.8,-171548160,-0.8,645035264,3.01
2023-06-29,BK1110,Web3.0,1435.45,0.91,-423781168,-2.05,-262674480,-1.27,-161106688,-0.78,138094592,0.67,285686528,1.38
2023-06-28,BK1110,Web3.0,1422.47,-2.88,-2092184192,-7.57,-781538432,-2.83,-1310645760,-4.74,364296960,1.32,1727887360,6.25
2023-06-27,BK1110,Web3.0,1464.62,1.0,-1207283776,-5.48,-539326272,-2.45,-667957504,-3.03,-1816320,-0.01,1209100288,5.49
2023-06-26,BK1110,Web3.0,1450.05,-6.64,-2854232928,-8.65,-1315079264,-3.98,-1539153664,-4.66,-60776192,-0.18,2915009280,8.83
2023-06-21,BK1110,Web3.0,1553.25,-6.11,-6534856448,-14.39,-4455657216,-9.81,-2079199232,-4.58,916175872,2.02,5618680576,12.38
2023-06-20,BK1110,Web3.0,1654.4,-0.18,-2403136768,-4.96,-1496260096,-3.09,-906876672,-1.87,438992640,0.91,1964144384,4.05
2023-06-19,BK1110,Web3.0,1657.4,1.99,-837152768,-1.76,664625664,1.4,-1501778432,-3.16,-48823040,-0.1,885975808,1.86
2023-06-16,BK1110,Web3.0,1625.0,2.06,1839732992,4.14,1703141632,3.84,136591360,0.31,-982272256,-2.21,-857460736,-1.93
